feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Escherichia__fergusonii	Year	2025	-7.49875878337681	2.36553384105231	262	105	0.0018065595040697	0.0129647211468531
Sphingomonas__sp.__SUN019	Year	2024	2.8975328657214	0.914344661005988	262	58	0.00181264105407912	0.0129967816272886
Escherichia__albertii	Person	N	-3.5478809952446	1.11976569205038	262	97	0.001815931670702	0.013008791648125
Sphingomonas__sp.__HMP6	Quarter	3	-2.8711585023673	0.906552217583817	262	186	0.00182358265746111	0.013051988940335
Porphyromonas__gingivalis	Control_type	Paraffin	2.2466813391537	0.709459248338982	262	37	0.00182575599658088	0.0130559389737737
Methylorubrum__sp.__B1.46	Year	2025	-6.94352189832219	2.19333214867599	262	44	0.00183175407789394	0.0130872083719627
Cutibacterium__granulosum	Year	2023	4.45919042868599	1.41033984836355	262	58	0.00185541472019966	0.0132333420674512
Delftia__tsuruhatensis	Year	2024	3.0247356362018	0.956741296094669	262	97	0.00185713816892944	0.0132333420674512
Anaerostipes__hadrus	Person	N	-2.26946504692557	0.717836307979734	262	52	0.00185691141162728	0.0132333420674512
Diaphorobacter__sp.__C33	Control_type	PCR	1.42384296509627	0.450828028421921	262	28	0.00187658107994033	0.0133600626486999
Blautia__obeum	Quarter	4	2.98849028187534	0.946354184261771	262	34	0.00187892719436207	0.0133649485591903
Lachnospira__eligens	Year	2025	-5.34466405370121	1.69427019839756	262	27	0.00189939289331018	0.0134985980378937
Kineothrix__sp.__MB12.C1	Person	N	-1.42368274111588	0.451373769500535	262	37	0.00190211100582148	0.0135059945492721
Variovorax__sp.__SRS16	Year	2023	-3.98412864132862	1.26357745333337	262	52	0.00190862107206522	0.0135283599227721
Burkholderia__sp.__NRF60.BP8	Year	2022	0.716163558003913	0.227122471259183	262	36	0.00190769645661726	0.0135283599227721
Mesorhizobium__terrae	Year	2022	-4.43121536237766	1.40649656982434	262	103	0.00192424388099718	0.0136270991466925
Lactobacillus__gasseri	Year	2023	-3.38651060881315	1.07555395952551	262	54	0.0019361875593989	0.0136996328895254
Sphingomonas__sp.__CL5.1	Person	N	3.09211408398963	0.982466689374722	262	152	0.00194448454173071	0.0137462594644562
Streptococcus__anginosus	Quarter	2	-2.61063170020904	0.830570628074453	262	70	0.0019705163514606	0.013918068124527
