feature	Peptoniphilaceae	Oscillospiraceae	Lachnospiraceae	Campylobacteraceae	Phyllobacteriaceae	Pseudomonadaceae	Peptostreptococcaceae	Streptococcaceae	Clostridiaceae	Veillonellaceae	Enterobacteriaceae	Lactobacillaceae	Eubacteriales_unclassified_order	Anaerovoracaceae	Lysobacteraceae	Bacteroidaceae	Propionibacteriaceae	Moraxellaceae	Rhizobiaceae	Staphylococcaceae	Oxalobacteraceae	Eubacteriales.Family.XIII..Incertae.Sedis	Enterococcaceae	Pasteurellaceae	Planococcaceae	Corynebacteriaceae	Bacillaceae	Brucellaceae	Burkholderiaceae	Gemellaceae	Fusobacteriaceae	Tannerellaceae	Carnobacteriaceae	Prevotellaceae	Porphyromonadaceae	Sphaerotilaceae	Atopobiaceae	Yersiniaceae	Sphingomonadaceae	Aerococcaceae	Natronincolaceae	Erwiniaceae	Acidaminococcaceae	Pectobacteriaceae	Bruguierivoracaceae	Vibrionaceae	Actinomycetaceae	Microbacteriaceae	Morganellaceae	Methylobacteriaceae	Hafniaceae	Methylocystaceae	Comamonadaceae	Burkholderiales_unclassified_order	Selenomonadaceae	Aeromonadaceae	Filifactoraceae	Tissierellaceae	Neisseriaceae	Rhodocyclaceae	Flavobacteriaceae	Listeriaceae	Sterolibacteriaceae	Devosiaceae	Chromobacteriaceae	Weeksellaceae	Alcaligenaceae	Acetobacteraceae	Sphingosinicellaceae	Hyphomicrobiaceae	Micrococcaceae	Caulobacteraceae	Nitrobacteraceae	Nautiliaceae	Zoogloeaceae	Boseaceae	Hyphomicrobiales_unclassified_order	Stappiaceae	Erythrobacteraceae	Gallionellaceae	Nostocaceae	Beijerinckiaceae	Xanthobacteraceae	Blastochloridaceae	Paracoccaceae	Stellaceae	Roseobacteraceae	Azospirillaceae	Betaproteobacteria_unclassified_class	Synechococcaceae	Oscillatoriaceae	Zymomonadaceae	Rhodospirillaceae
2023_08_21_AN1078_16S_pda_mice_ffpe	0	1	0	475	0	7	0	798	5	0	198	0	0	0	1454	0	6856	0	0	952	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	30156	0	0	0	0	0	0	0	0	2	1	1855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	911	659	0	0	0	0	0	0	71	0	2	0	0	0	0	2	0	1	0	0	0	2	0
2023_08_21_AN1023_16S_pda_mice_ffpe	8658	0	0	0	0	0	0	1350	2	821	194	0	0	0	320	3	14734	2	1	1295	0	0	0	0	0	109	0	0	0	125	0	0	0	243	0	0	0	0	16198	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	806	0	0	179	0	0	0	1650	1	0	0	0	0	15	0	0	0	0	0	0	0	1	1	0	0	0	0	0
2023_08_21_AN866_16S_pda_mice_ffpe	728	0	0	122	7	0	0	1112	0	0	350	0	0	0	500	0	4085	756	375	3627	854	0	1	0	0	0	469	2	0	0	0	0	15	0	0	0	0	0	24549	0	0	0	0	0	0	0	0	0	1	2483	0	2	469	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	284	0	835	1297	438	0	0	1	0	0	36	0	4	1	1	0	5213	0	66	1	0	0	0	0	0
2023_01_11_NCT_1_16S_EKT	42	2228	6439	57	634	2	293	23884	42	1376	26	75	143	13	0	27	0	1	1	126	31	0	1237	6059	0	2	13	6	249	3394	82	8	499	33	37	148	0	10	309	600	0	6	2	4	0	27	3	0	6	0	0	0	3	4	12	0	0	0	62	0	11	1	0	0	0	30	0	0	6	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	16	0	1	0	0	0	0	0	0
2023_01_11_NCT_5_16S_EKT	2	24	99	0	18	1	0	671	0	34	0	0	1	0	0	0	1	1	0	0	0	0	9	218	0	0	9	0	4	86	1	1	4	1	0	0	0	0	8	22	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023_01_11_NCT_2_16S_EKT	9	528	1482	0	97	0	0	455	22	29	0	3	61	0	0	1	6	0	0	286	0	0	11	239	0	0	1	1	34	37	5	0	6	59	0	0	0	0	384	2	0	0	1	0	1	0	0	0	0	13	0	0	3	0	0	0	0	0	53	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_11_18_Nct_05_16S_PDA-MAPS	0	0	31	0	44	1	0	662	0	0	9936	0	0	0	0	0	0	5	0	163	112	0	0	0	0	0	0	0	6715	0	0	0	0	0	0	0	0	37	1254	0	0	47	0	4	10	5	0	0	5	50	16	0	1	0	0	1	0	0	2	0	24	0	0	0	0	0	3	0	21	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
2022_11_18_Nct_01_16S_PDA-MAPS	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	2	0	1252	6	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	12	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_11_18_Nct_02_16S_PDA-MAPS	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	3	23	0	46	0	0	33	0	0	0	0	0	3541	0	0	0	0	0	0	4	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0
2022_11_18_Nct_03_16S_PDA-MAPS	0	0	0	0	6	5	0	18	0	0	7	0	0	0	0	0	5	23	0	4	5	0	0	0	0	0	0	0	3137	0	0	0	4	0	0	16	0	36	103	0	0	0	0	0	0	0	0	0	1	3	0	0	6	15	0	1	0	0	3	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0
