feature	Finegoldia	Dysosmobacter	Anaerococcus	Lachnospiraceae_unclassified_family	Campylobacter	Mesorhizobium	Pseudomonas	Faecalibacterium	Peptostreptococcaceae_unclassified_family	Blautia	Streptococcus	Peptoniphilus	Anaerobutyricum	Clostridium	Anaerostipes	Dialister	Mediterraneibacter	Ruminococcus	Escherichia	Lachnospira	Eubacteriales_unclassified_order	Agathobacter	Aminipila	Caproiciproducens	Shigella	Mogibacterium	Massilistercora	Romboutsia	Pseudobutyrivibrio	Lactobacillus	Stenotrophomonas	Oscillospiraceae_unclassified_family	Phocaeicola	Cutibacterium	Ruminiclostridium	Roseburia	Lachnoclostridium	Acinetobacter	Sinorhizobium	Ruthenibacterium	Staphylococcus	Janthinobacterium	Eubacteriales.Family.XIII..Incertae.Sedis_unclassified_family	Oscillibacter	Lacrimispora	Enterococcus	Bacteroides	Ezakiella	Megasphaera	Salmonella	Enterobacter	Caproicibacterium	Hungatella	Enterocloster	Haemophilus	Corynebacterium	Veillonella	Erysipelotrichaceae_unclassified_family	Ligilactobacillus	Brucella	Agrobacterium	Ralstonia	Peptacetobacter	Gemella	Flintibacter	Anaerotignum	Bacillus	Anaerocolumna	Acetivibrio	Intestinimonas	Fusobacterium	Mammaliicoccus	Murdochiella	Flavonifractor	Tannerella	Ethanoligenens	Lachnoanaerobaculum	Marinilactibacillus	Herbinix	Porphyromonas	Prevotella	Yokenella	Mannheimia	Paraclostridium	Piscinibacter	Serratia	Citrobacter	Sphingomonas	Sutterella	Clostridioides	Crassaminicella	Planococcus	Klebsiella	Butyrivibrio	Segatella	Rhizobium	Parvimonas	Abiotrophia	Aerococcus	Alkaliphilus	Pantoea	Mixta	Jeotgalibaca	Acidaminococcus	Dickeya	Sodalis	Enterobacteriaceae_unclassified_family	Vibrio	Priestia	Limosilactobacillus	Lacticaseibacillus	Proteus	Methylobacterium	Edwardsiella	Moraxella	Actinobacillus	Yersinia	Cronobacter	Xylanibacter	Pseudoduganella	Tetragenococcus	Pasteurella	Carnobacterium	Methylocystis	Leclercia	Aggregatibacter	Acidovorax	Phyllobacterium	Raoultella	Burkholderiales_unclassified_order	Providencia	Aquibium	Erwinia	Companilactobacillus	Methylorubrum	Selenomonas	Atlantibacter	Lysinibacillus	Pectobacterium	Kluyvera	Melissococcus	Paracidovorax	Stutzerimonas	Aeromonas	Aminobacter	Vagococcus	Filifactor	Lancefieldella	Hydrogenophaga	Phascolarctobacterium	Lactococcus	Gudongella	Neisseria	Azospira	Hoylesella	Novosphingobium	Latilactobacillus	Acetoanaerobium	Aquabacterium	Capnocytophaga	Kosakonia	Listeria	Tatumella	Leptothrix	Sphaerotilus	Massilia	Rubrivivax	Schaalia	Diaphorobacter	Actinomyces	Devosia	Cupriavidus	Roseateles	Weissella	Herbaspirillum	Sphingobium	Leuconostoc	Ottowia	Chromobacterium	Cloacibacterium	Comamonas	Eikenella	Glaesserella	Sphingosinicella	Hyphomicrobium	Rhodoferax	Cytobacillus	Kingella	Lapidilactobacillus	Kocuria	Brevundimonas	Delftia	Sphingosinithalassobacter	Suicoccus	Pasteurellaceae_unclassified_family	Avibacterium	Rhodopseudomonas	Limnohabitans	Rhizorhabdus	Caminibacter	Bibersteinia	Bradyrhizobium	Bosea	Paenacidovorax	Variovorax	Methylibium	Afipia	Breoghania	Caenibius	Microvirga	Rothia	Polaromonas	Croceicoccus	Bordetella	Ancylobacter	Blastochloris	Paracoccus	Stella	Burkholderia	Tsuneonella	Ochrobactrum	Tardibacter	Sphingopyxis	Xanthomonas	Roseomonas	Altererythrobacter	Micrococcus	Collimonas	Vitreoscilla	Sphingorhabdus	Alicycliphilus	Anabaena	Inhella	Caldimonas	Rodentibacter	Caulobacter	Alysiella	Salinicoccus	Paraburkholderia	Acetobacter	Porphyrobacter	Synechococcus	Denitratisoma	Erythrobacter	Nitrobacter	Neorhizobium	Oscillatoria	Parasphingopyxis	Pandoraea	Mycetohabitans	Caballeronia	Qipengyuania	Zymomonas	Blastomonas	Betaproteobacteria_unclassified_class
2021_10_27_negKO 3_16S_PMAPS	282	77	326	0	277	184	12	0	108	51	1026	303	209	1	1	0	0	1	31	0	0	0	0	0	1	0	1	0	0	2	0	0	0	473	0	0	0	8	0	0	25	2	0	1	0	11	0	0	0	3	0	0	1	0	20	2	155	0	0	0	0	522	0	325	15	0	0	0	0	3	166	0	0	7	0	0	0	10	0	0	16	0	0	0	16	0	0	15	0	0	0	0	0	0	42	1	196	2	8	0	0	0	2	0	0	0	0	7	0	0	0	0	1	0	81	0	1	0	1	0	17	0	27	0	0	0	13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	39	0	0	0	0	1	0	339	2	0	1	1	0	60	0	0	0	0	5	4	0	0	1	65	0	0	2	0	0	8	36	1	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_10_27_negKO 4_16S_PMAPS	44442	545	4345	2103	2196	1756	687	6939	1042	6293	5464	17556	2010	30	766	2967	1140	3191	10898	820	1356	7	155	337	710	183	293	202	137	80	35	185	586	327	23	1286	1081	47	3	186	833	66	105	240	312	1061	504	51	1410	661	385	85	162	226	1331	42	4727	0	1	11	19	150	25	29	189	3	3	82	25	73	69	0	36	466	6	59	19	21	94	17	67	17	6	4	0	187	111	25	2	7	3	0	131	21	17	6	14	0	7	2	25	3	1	154	2	9	9	5	0	148	50	346	91	16	39	4	28	5	3	2	0	7	4	0	15	5	18	4	67	17	1	1	10	0	11	14	6	1	4	5	0	6	2	1	0	3	1	0	0	4	1	3	0	0	6	0	0	0	0	0	9	0	1	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_11_16_negKO1_16S_PMAPS	2125	215	910	301	207	255	25	285	767	527	1155	2492	24	190	57	856	72	94	1442	63	45	1	95	7	90	272	52	25	22	131	3	25	78	54	2	78	90	12	0	240	2	10	50	124	13	74	27	247	118	93	46	4	17	56	609	1	412	1	0	0	14	12	19	191	23	105	1	3	14	23	0	0	350	16	1	5	99	3	5	1	149	1	2	6	21	4	8	28	1	2	5	0	88	9	36	1	271	37	29	3	2	1	18	98	0	0	2	1	0	0	0	0	7	2	10	0	1	1	4	0	17	7	25	0	1	4	23	1	0	0	0	0	1	1	20	49	3	0	0	1	0	0	0	0	0	40	0	3	0	158	104	2	56	2	13	0	0	0	46	12	2	0	0	3	1	0	0	4	6	0	0	12	0	2	0	0	0	0	0	0	13	2	0	1	0	3	0	0	1	0	5	0	1	21	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_11_16_negKO3_16S_PMAPS	5	0	0	16	1271	107	20	0	0	78	68068	37	6	5	83	2481	26	0	1132	1	0	0	0	0	77	1	1	45	1	1	0	0	11	2	0	118	60	0	0	0	65	41	0	0	26	487	30	0	2226	60	34	0	0	13	284	0	44836	0	0	2	0	26	516	6271	0	1	23	39	1	0	232	0	0	0	67	0	138	0	26	112	2328	1	48	40	28	39	8	138	0	198	1	0	18	34	81	2	2733	20140	1523	8	6	1	410	9	0	1	0	3	2	1530	44	2	3	3	0	34	4	2	53	0	1005	39	1327	0	3	817	2	0	0	0	0	0	1	12	2	1850	1	10	6	0	3	0	0	1	0	2701	67	1	2	8	3	1	28	41	5	28	12	7	95	1595	1	4	0	12	6	0	12	136	32	58	5	0	2	73	29	0	3	103	0	7	0	143	7	2	0	2	1	0	17	0	0	2	0	3	3	9	0	0	0	0	2	2	0	1	0	8	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	12	0	0	0	4	1	11	0	0	7	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021_11_16_negKO2_16S_PMAPS	3448	344	10271	9829	97	6749	1	6256	8642	12675	9513	7498	1114	912	1991	784	1523	2042	4973	743	782	16	281	120	250	888	228	106	561	599	0	66	186	2030	11	2727	1767	204	94	591	7052	7	269	127	460	5	81	577	172	899	166	71	432	258	15	56	87543	50	0	34	1	1	98	438	32	231	5	453	105	54	199	1	917	45	286	32	23	54	88	53	280	36	0	49	0	269	22	497	29	24	9	1	369	21	63	12	397	6	4	2	9	3	2	168	4	2	2	0	0	680	0	4	1	11	0	4	22	7	16	131	4	1	7	0	8	0	46	8	5	1	0	21	3	0	0	108	4	1	0	0	0	2	0	587	24	8	13	0	0	756	260	11	3	7	4	395	0	1	1	0	2	217	0	1	0	545	0	167	9	2	3	0	0	489	6	2	0	0	0	0	183	0	0	9	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	7	0	0	0	0	0	0	0	1	11	3	1	0	4	0	0	0	0	0	0	0	1	0	0	32	0	0	0	0	0	0	0	0	0	19	28	1	1	1	0	0	0	0	0	0	0	0	0
2022_02_01_negKO 1_16S_PMAPS	0	0	0	31	0	56	4	0	0	14	1262	0	0	9	5	0	10	35	208	1	0	0	0	0	14	0	2	0	2	89	0	3	0	61	1	24	3	0	0	13	0	2	0	0	6	0	0	0	0	10	4	1	8	22	0	0	160	0	0	1	0	0	0	164	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	7	0	3	212	0	0	0	0	5	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	1	0	0	0	0	0	14	0	0	0	0	0	0	28	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	13	0	0	0	0	1	2	95	0	0	4	3	0	0	0	0	0	0	0	0	0	3	32	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2022_02_01_negKO 2_16S_PMAPS	56	49	192	5	75	0	0	0	165	4	323	306	0	2	4	36	49	16	250	0	3	0	28	0	12	17	1	5	0	22	2	4	1	1	0	4	8	74	0	0	6	0	0	20	0	2	20	3	6	6	2	0	0	11	273	0	47	0	0	0	0	83	28	56	4	0	0	0	4	1	142	0	2	5	0	1	0	0	0	11	78	1	1	6	0	0	15	236	0	8	0	0	13	0	28	0	124	3	12	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	3	0	0	12	1	0	1	0	0	0	0	0	0	20	0	0	0	1	1	0	0	0	0	3	46	5	16	0	0	0	81	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	4	0	0	3	14	1	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	781	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
2022_02_01_negKO 4_16S_PMAPS	771	44	1522	6	286	37	7	0	3434	1	88	3622	0	2	2	1403	0	0	0	0	0	1	88	0	0	237	0	11	0	22	0	0	1	0	0	4	5	12	1	0	19	21	74	13	0	11	0	123	45	0	0	0	0	1	3	0	2	0	1	1	11	12	175	470	4	0	23	0	11	1	8	0	253	5	0	0	3	0	2	110	74	0	0	39	0	0	0	2297	0	26	1	1	0	4	39	11	1781	0	112	3	0	0	0	1	0	0	0	0	52	0	0	0	194	0	0	0	0	0	25	9	0	0	32	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	4	1	3	4	0	1	21	32	21	0	0	0	0	0	0	0	32	0	0	0	0	3	0	0	0	17	1	0	0	2	1	0	1	0	42	0	3	11	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	15	0	21	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	47	0	0	0	0	0	0	0	0	0
2022_02_01_negKO 5_16S_PMAPS	39	0	0	82	3920	113	0	0	0	156	45288	3	4	18	110	177	57	0	729	5	0	4	257	0	34	675	4	9	19	427	0	0	11	10	2	155	168	1	0	1	311	16	233	0	256	349	9	0	195	32	35	0	6	56	9333	0	57317	0	1	0	0	7	82	6229	0	0	19	76	5	0	719	0	0	0	416	0	1537	7	38	836	743	1	44	5	0	10	4	355	0	46	20	1	16	85	83	0	3424	5832	701	3	2	2	147	12	0	0	1	11	1	539	76	2	0	0	4	44	0	1	11	0	415	46	606	0	1	858	0	0	0	1	1	0	0	2	0	1475	1	3	4	0	14	0	0	0	0	1056	20	210	0	45	5	4	4844	0	0	5	34	0	0	1872	0	60	5	0	0	0	0	103	0	261	0	0	0	40	0	0	1	0	6	0	0	115	3	5	0	5	1	116	5	0	41	0	0	0	11	22	0	1	0	0	8	0	0	0	0	0	0	0	0	0	404	0	0	5	0	0	0	0	11747	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	7	0	2	9	18	0	0	0	2	1	0	0	0	0	12	2	1	0	0	0	0
2022_02_21_negKO4_16S_PMAPS	0	0	0	1	0	84	6	0	0	3	710	0	0	0	3	5	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	3	3	0	1	0	36	12	0	0	0	0	0	0	30	0	0	0	0	0	52	0	96	0	0	0	0	1	16	146	0	0	0	3	0	0	17	0	0	0	0	0	1	0	2	0	3	0	0	1	0	0	0	3618	0	6	0	0	0	14	1	4	29	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	12	1	0	57	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	8	0	0	2	0	1	1	0	0	0
2022_02_21_negKO5_16S_PMAPS	441	64	371	338	74	110	5	562	1124	337	593	425	68	47	49	102	86	97	93	65	39	1	57	8	5	142	14	26	10	6	0	1	26	2	3	127	118	28	0	83	2	37	35	15	31	230	34	115	66	3	4	3	28	12	71	0	6	36	0	0	0	10	48	145	24	0	13	3	9	5	15	0	341	10	0	1	3	0	8	1	101	1	0	31	19	1	2	72	0	8	0	0	28	1	74	0	9	43	14	1	1	0	5	0	0	0	0	0	2	1	0	0	14	2	0	0	0	1	2	0	4	0	16	0	2	0	0	0	2	0	0	0	0	0	6	10	0	0	0	0	1	0	0	0	0	27	1	0	2	7	0	1	39	0	0	4	0	0	61	0	0	0	0	3	2	1	3	0	0	0	0	0	4	3	0	0	0	0	0	0	3	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	5	1	0	0	0	2	0	0	2	4	5	0	0	0	0	0	0	0	0	0	0	0	4408	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5	1	0	0	0	10	0	0	0	0	0	0	0	0	0	3	0	10	0	0	0	0
2022_02_21_negKO2_16S_PMAPS	349	2	90	6	0	29	2	5	88	47	225	62	0	0	5	56	1	34	46	0	11	0	6	1	3	22	6	0	1	0	0	0	2	1	0	3	2	1	0	9	92	1	5	1	0	44	0	0	12	3	0	0	1	38	82	0	6	0	0	0	0	132	0	3	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	5	78	0	0	12	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	86	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2022_02_21_negKO1_16S_PMAPS	141	5	821	49	2230	0	10	44	100	22	55519	132	7	2	25	87	28	0	75	2	2	6	83	0	23	30	1	13	7	1	0	0	0	1973	0	20	58	808	2	41	3507	0	272	6	27	1181	2	78	459	23	88	0	10	5	66105	7	10073	0	1	0	6	5	83	7849	1	1	42	15	1	0	1602	1	63	1	243	0	307	1	5	599	656	11	192	19	5	113	42	744	0	35	5	1	372	51	31	0	565	1040	2724	17	38	0	758	1	0	2	0	206	1	2	0	6	4	2	1	329	3	0	1	1	1888	367	2326	0	9	134	12	0	37	0	3	0	1	13	7	40	0	6	35	1	50	0	0	747	0	4896	214	0	0	3	94	6	11106	0	1	17	158	3	23	3227	3	5	24	1	0	23	4	42	3	5	0	0	4	93	3	0	13	1	3	0	6	106	37	18	7	1	0	395	68	0	0	0	0	0	18	99	0	0	1	1	16	0	0	2	9	1	0	0	0	0	104	0	0	2	0	0	0	0	5736	0	0	0	1	12	7	1	0	0	6	0	0	0	0	1	33	0	8	11	10	0	0	1	0	1	0	0	0	0	2	2	1	1	1	0	0
2022_02_21_negKO3_16S_PMAPS	272	57	514	69	344	24	0	131	1308	124	7532	842	90	0	8	268	4	111	433	16	38	0	36	2	16	75	10	2	6	53	0	5	74	0	0	15	16	8	0	29	38	26	25	20	37	6	4	77	0	28	8	1	10	2	484	0	327	0	38	0	3	1	41	271	5	0	0	18	0	3	0	0	189	1	31	6	59	0	1	0	120	0	1	6	11	2	4	236	0	23	0	0	8	0	16	39	136	113	5	0	1	0	0	4	0	0	0	1	0	0	0	0	27	0	0	4	0	0	2	5	3	3	8	0	0	13	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	7	0	0	0	26	43	0	330	0	14	4	0	0	38	0	0	0	0	7	1	12	1	0	0	6	0	0	9	0	22	0	0	0	0	0	2	0	0	4	0	4	0	1	0	3	4	0	1	0	1	1	0	1	0	0	0	0	0	0	19	5	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	13	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_04_20_neg_ctrl3_16S_PMAPS	145	0	0	0	0	22	93	0	0	0	3006	0	0	0	0	0	0	0	573	0	0	0	0	0	19	0	1	0	0	0	0	0	0	676	0	0	0	0	1	0	1	0	0	0	0	16	0	0	0	56	36	0	0	0	0	0	984	0	0	1	0	4	0	612	0	2	243	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	3	1987	0	0	0	48	19	0	0	0	0	0	30	0	1	0	10	0	0	1	0	0	10	0	0	0	0	2	250	0	1	1	1	0	13	0	49	0	1	0	0	0	0	0	0	0	0	1	0	12	1	5	0	0	0	0	0	7	0	60	0	0	0	0	1	0	234	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	2	1	160	0	0	0	0	24	0	35	0	0	0	305	0	22	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	17	0	0	2	0	0	0	0	4619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	0	1	0	0	3	0	0	0	1	4	2	8	2	1	0	0
2022_04_20_neg_ctrl2_16S_PMAPS	123	0	984	1	0	750	0	33	442	4	315	0	0	0	0	122	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	32	0	0	1	0	0	1	44	0	45	0	0	1	0	68	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8411	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590	0	0	150	0	0	0	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	103	0	0	0	132	0	0	14	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	4	8	3	0
2022_04_20_neg_ctrl1_16S_PMAPS	3754	59	1427	240	933	9	21	158	3650	706	753	3743	12	8	139	1948	184	12	3247	1	3	0	184	1	158	296	77	51	9	58	61	0	1	0	1	55	128	0	0	68	13	154	121	37	53	8	29	1129	3	222	109	0	17	142	102	0	80	0	0	0	0	1	676	0	2	0	0	8	4	11	18	0	2390	33	4	0	0	0	0	28	226	3	0	179	0	7	18	1945	0	121	10	0	38	1	35	0	802	9	9	13	6	5	1	0	1	5	4	1	0	0	0	4	19	20	0	1	8	2	24	0	5	2	12	0	2	1	0	0	1	0	0	0	0	0	4	0	1	0	0	0	3	1	0	1	0	13	2	8	0	72	7	6	0	0	1	32	6	3	2	0	2	0	0	1	2	0	0	1	26	0	0	2	22	0	1	1	2	0	1	0	0	0	0	34	0	0	0	0	0	0	0	0	2	19	0	0	4	0	0	0	0	625	1	0	0	1	0	0	0	4	0	0	0	0	0	1	18	0	2513	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	6	4	0	0	0	0	1	1	0	0	0	3	0	1	2	1	0	0
2022_04_20_neg_ctrl4_16S_PMAPS	0	0	0	0	0	25	16	0	0	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	4	0	0	17	0	0	0	0	1	0	0	5	0	0	0	0	0	135	0	438	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	3	0	472	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	4	0	0	0	85	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3334	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0
2022_07_11_neg KO 1_16S_PMAPS	0	0	0	152	589	96	25	0	0	273	15863	0	16	20	72	625	38	0	1	17	0	14	170	0	0	1416	5	137	3	2	0	0	11	44	5	138	182	0	0	0	114	23	300	0	143	84	19	0	94	3	1	0	23	69	3411	215	6772	1	9	1	0	14	1054	2182	0	1	10	114	4	0	4958	1	0	0	657	0	1711	8	52	155	1589	0	41	120	0	3	0	1945	0	377	3	0	1	107	68	0	631	489	186	11	0	0	34	5	0	1	0	38	0	0	21	0	0	0	27	30	0	0	21	0	113	32	182	0	0	846	0	0	0	0	1	0	0	3	0	1405	0	1	0	0	2	0	0	0	0	329	512	323	0	2	23	0	574	0	19	26	1	1	0	388	0	0	0	0	1	0	0	393	0	644	0	2	0	6	1	1	0	2	0	0	1	302	2	39	0	0	0	24	3	18	0	1	0	0	9	28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	398	0	0	3	0	0	0	0	16883	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	0	0	1	24	0	0	0	0	3	0	0	0	0	13	7	9	0	0	0	0
2022_07_11_neg KO 2_16S_PMAPS	0	0	0	182	482	255	0	0	0	330	14123	0	24	35	60	108	33	0	0	17	0	10	35	0	0	192	3	52	3	0	0	0	0	0	0	277	154	59	1	0	92	0	71	0	33	31	1	0	121	0	5	0	39	23	4039	18	8623	3	0	1	0	7	428	1130	0	1	2	152	0	0	1199	0	0	0	13	0	1669	0	46	3	958	0	39	60	0	2	1	124	0	183	1	0	0	77	29	0	269	76	147	9	2	0	34	10	0	0	0	27	0	0	0	3	21	0	0	16	0	0	2	0	86	56	104	0	0	756	0	0	0	0	0	1	0	1	0	1498	0	1	2	0	4	0	0	0	0	201	386	8	0	5	2	0	146	0	12	1	6	2	0	34	0	0	2	0	0	1	0	90	0	140	0	0	0	6	1	5	0	1	4	1	0	47	0	0	0	0	0	0	2	0	0	1	0	0	3	21	0	0	1	0	0	0	0	0	0	0	0	1	0	0	112	0	0	3	0	0	0	0	14505	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	26	0	0	0	0	0	0	0	0	0	11	3	9	0	0	0	0
2022_07_11_neg KO 3_16S_PMAPS	961	114	653	74	1073	1	0	102	4	170	397	624	12	4	36	261	24	52	263	21	14	0	25	6	16	44	2	4	3	0	0	1	34	0	0	47	37	0	0	68	22	0	157	30	4	3	7	467	8	10	7	2	3	9	55	0	6	5	0	0	0	0	33	12	40	0	0	2	0	8	13	0	531	44	0	1	0	0	1	17	4	0	0	15	0	0	3	41	0	10	1	0	11	0	13	0	1	7	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	3	1	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2022_07_11_neg KO 4_16S_PMAPS	0	0	0	0	0	15	0	0	0	0	832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	139	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	422	2	95	0	0	0	0	0	0	170	0	0	1	0	0	0	28	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	48	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	5	1	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
