feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Sphingomonas_insulae	sample_type	paraffin_ctrl	3.48589576446387	0.570351716945207	197	110	5.26103113865436e-09	7.68110546243536e-08
Rhizorhabdus_phycosphaerae	sample_type	paraffin_ctrl	2.18267827834936	0.358466168970415	197	32	5.93340545976117e-09	8.47445084144149e-08
Burkholderia_stagnalis	sample_type	paraffin_ctrl	-1.96476816614123	0.323387981694958	197	38	6.36397729168228e-09	8.89602783113885e-08
Streptococcus_australis	sample_type	paraffin_ctrl	-3.23239592745613	0.532859526784648	197	128	6.68662102990128e-09	9.15231253467738e-08
Burkholderia_vietnamiensis	sample_type	paraffin_ctrl	-2.09663293191839	0.347597768832424	197	37	8.0011335238225e-09	1.07280504594926e-07
Ralstonia_pseudosolanacearum	sample_type	paraffin_ctrl	-1.90901941287325	0.319184678947536	197	40	1.04236707171782e-08	1.36967033223722e-07
Erythrobacter_aureus	sample_type	paraffin_ctrl	2.19949644071291	0.371761803597093	197	43	1.45491476408469e-08	1.87427254902675e-07
Roseburia_hominis	sample_type	paraffin_ctrl	-2.19142391985462	0.370946341988296	197	48	1.52200019858314e-08	1.92298871244062e-07
Burkholderia_sp._JP2.270	sample_type	paraffin_ctrl	-2.42218866764358	0.410762146069858	197	38	1.60927416742862e-08	1.99489269434076e-07
Massilistercora_timonensis	sample_type	paraffin_ctrl	-2.57882868404115	0.438057366254443	197	40	1.6927986368963e-08	2.0595716748905e-07
Burkholderia_territorii	sample_type	paraffin_ctrl	-1.61051452327149	0.273845828470899	197	37	1.74454323759457e-08	2.08393619472661e-07
Burkholderia_metallica	sample_type	paraffin_ctrl	-1.77254197265435	0.30370766482942	197	38	2.19365611366359e-08	2.5736286904946e-07
Lachnospiraceae_bacterium_KM106.2	sample_type	paraffin_ctrl	-1.764081734973	0.303915063548812	197	38	2.57987444935903e-08	2.92237502280842e-07
Sphingomonas_sediminicola	sample_type	paraffin_ctrl	2.32735943870068	0.400773110970741	197	56	2.54529086658683e-08	2.92237502280842e-07
Hungatella_hathewayi	sample_type	paraffin_ctrl	-2.00302619195145	0.346547858652393	197	43	2.92302953327518e-08	3.25496678535897e-07
Streptococcus_mitis	sample_type	paraffin_ctrl	-4.21006639318039	0.729233747362667	197	144	3.0235457981994e-08	3.31078264902834e-07
Burkholderia_ubonensis	sample_type	paraffin_ctrl	-2.26552682722131	0.392961157711728	197	37	3.14871022546736e-08	3.3913157674296e-07
Janthinobacterium_lividum	sample_type	paraffin_ctrl	-2.32544544459395	0.406247847080338	197	60	3.87479716637774e-08	4.1060350617906e-07
Paraburkholderia_acidisoli	sample_type	paraffin_ctrl	-2.26082199370064	0.396847109937148	197	42	4.44426978394177e-08	4.63473848896784e-07
Sphingomonas_changnyeongensis	sample_type	paraffin_ctrl	2.78663696852225	0.491969281679505	197	71	5.23661581904723e-08	5.33744778129997e-07
Burkholderia_oklahomensis	sample_type	paraffin_ctrl	-1.96383831760106	0.34697227458993	197	36	5.35110194703352e-08	5.33744778129997e-07
Burkholderia_gladioli	sample_type	paraffin_ctrl	-1.87037969409866	0.330483292797221	197	37	5.36181968897714e-08	5.33744778129997e-07
Blautia_sp._SC05B48	sample_type	paraffin_ctrl	-3.77266765683874	0.669210740885654	197	45	5.98607346945583e-08	5.86992577527236e-07
Lachnospiraceae_bacterium_Choco86	sample_type	paraffin_ctrl	-2.95967104669432	0.525492092078227	197	39	6.14641887423972e-08	5.93852529466985e-07
Enterocloster_bolteae	sample_type	paraffin_ctrl	-1.96328875413779	0.349593770927515	197	43	6.66558563445063e-08	6.34679675628125e-07
Sphingomonas_sp._PAMC26645	sample_type	paraffin_ctrl	3.01382550980996	0.537288839375348	197	83	6.88789602880947e-08	6.46478241561118e-07
Caenibius_tardaugens	sample_type	paraffin_ctrl	2.24985715711393	0.404230026232234	197	42	8.54837414811463e-08	7.91025607790325e-07
X.Clostridium._scindens	sample_type	paraffin_ctrl	-2.40966597917322	0.433430304710312	197	35	8.81722356192783e-08	8.04571650025914e-07
Ruminococcus_bovis	sample_type	paraffin_ctrl	-2.16405744984666	0.389739944344467	197	34	9.12559173642781e-08	8.21303256278503e-07
Caballeronia_sp._SBC1	sample_type	paraffin_ctrl	-1.77046357446718	0.31969700558298	197	34	9.80868323333387e-08	8.7085201139194e-07
Streptococcus_oralis	sample_type	paraffin_ctrl	-3.64861539597019	0.659687695473194	197	139	1.01590343090839e-07	8.89931405475746e-07
Streptococcus_gordonii	sample_type	paraffin_ctrl	-3.42777121668283	0.622675512995837	197	93	1.15402628467177e-07	9.87608377783372e-07
Sphingomonas_profundi	sample_type	paraffin_ctrl	2.10485082847363	0.382401126407631	197	41	1.15747100592572e-07	9.87608377783372e-07
Burkholderia_dolosa	sample_type	paraffin_ctrl	-1.59029459897317	0.291935614138994	197	32	1.52901964874805e-07	1.28790501183009e-06
Pseudobutyrivibrio_xylanivorans	sample_type	paraffin_ctrl	-2.18668622156018	0.402820743625334	197	37	1.67712149816691e-07	1.39477066366539e-06
Brevundimonas_vesicularis	sample_type	paraffin_ctrl	2.43220250136444	0.449428881686156	197	36	1.81867187103012e-07	1.49358427408349e-06
Burkholderia_seminalis	sample_type	paraffin_ctrl	-1.82232746924179	0.337229626910161	197	32	1.89015664383595e-07	1.53312705555583e-06
Gemella_sanguinis	sample_type	paraffin_ctrl	-3.17661806695357	0.591771855266332	197	74	2.24812211892184e-07	1.77953762907427e-06
Novosphingobium_pentaromativorans	sample_type	paraffin_ctrl	1.7959017977411	0.33447206018703	197	38	2.23313701507785e-07	1.77953762907427e-06
Anaerocolumna_sedimenticola	sample_type	paraffin_ctrl	-1.75731290247202	0.328245763288786	197	38	2.40899157862917e-07	1.8841755561421e-06
Gemella_haemolysans	sample_type	paraffin_ctrl	-3.63304619996086	0.681065142235738	197	95	2.64338711161166e-07	2.0431827439163e-06
Erythrobacter_neustonensis	sample_type	paraffin_ctrl	1.08371604713445	0.20408855567573	197	24	2.97084597615775e-07	2.26958814690191e-06
Sphingomonas_taxi	sample_type	paraffin_ctrl	2.90135466618491	0.547596900834754	197	135	3.14187294085117e-07	2.37265577257381e-06
Anaerobutyricum_hallii	sample_type	paraffin_ctrl	-2.45671309309449	0.466342921565558	197	41	3.6310586658206e-07	2.66956985703152e-06
Janthinobacterium_svalbardensis	sample_type	paraffin_ctrl	-2.44374325723041	0.464012228745931	197	56	3.65694500963222e-07	2.66956985703152e-06
Sphingomonas_suaedae	sample_type	paraffin_ctrl	2.07698461116262	0.3943221296325	197	56	3.64513325033807e-07	2.66956985703152e-06
Janthinobacterium_sp._LM6	sample_type	paraffin_ctrl	-1.91774397092513	0.364890792029895	197	39	3.85147211383254e-07	2.78067821844833e-06
Dysosmobacter_welbionis	sample_type	paraffin_ctrl	-2.2008288435759	0.422172980787723	197	34	4.71359093462269e-07	3.35977305537434e-06
Lachnoclostridium_phocaeense	sample_type	paraffin_ctrl	-2.27190592349832	0.435965047859241	197	33	4.7558431377445e-07	3.35977305537434e-06
Herbinix_luporum	sample_type	paraffin_ctrl	-1.40501688728228	0.269752498239707	197	53	4.81629228943966e-07	3.36628088740623e-06
Flintibacter_sp._KGMB00164	sample_type	paraffin_ctrl	-2.23368426302258	0.430869138316413	197	32	5.40446571876733e-07	3.73761471287383e-06
Lachnospira_eligens	sample_type	paraffin_ctrl	-2.48449590422721	0.480213526716047	197	37	5.6759267763808e-07	3.88446238758561e-06
Burkholderia_plantarii	sample_type	paraffin_ctrl	-1.47015142000005	0.285954239424242	197	30	6.61253969429391e-07	4.47880265891866e-06
