feature	Finegoldia	Anaerococcus	Lachnospiraceae_unclassified_family	Campylobacter	Mesorhizobium	Pseudomonas	Faecalibacterium	Peptostreptococcaceae_unclassified_family	Blautia	Streptococcus	Peptoniphilus	Anaerobutyricum	Clostridium	Anaerostipes	Dialister	Mediterraneibacter	Ruminococcus	Escherichia	Lachnospira	Aminipila	Shigella	Mogibacterium	Massilistercora	Romboutsia	Pseudobutyrivibrio	Lactobacillus	Stenotrophomonas	Phocaeicola	Cutibacterium	Roseburia	Lachnoclostridium	Acinetobacter	Sinorhizobium	Ruthenibacterium	Staphylococcus	Janthinobacterium	Eubacteriales.Family.XIII..Incertae.Sedis_unclassified_family	Lacrimispora	Enterococcus	Bacteroides	Megasphaera	Salmonella	Enterobacter	Hungatella	Enterocloster	Haemophilus	Corynebacterium	Veillonella	Ligilactobacillus	Brucella	Agrobacterium	Ralstonia	Peptacetobacter	Gemella	Bacillus	Anaerocolumna	Acetivibrio	Fusobacterium	Mammaliicoccus	Tannerella	Lachnoanaerobaculum	Herbinix	Porphyromonas	Prevotella	Yokenella	Mannheimia	Paraclostridium	Piscinibacter	Serratia	Citrobacter	Sphingomonas	Clostridioides	Crassaminicella	Klebsiella	Butyrivibrio	Segatella	Rhizobium	Parvimonas	Abiotrophia	Aerococcus	Alkaliphilus	Pantoea	Mixta	Jeotgalibaca	Sodalis	Enterobacteriaceae_unclassified_family	Vibrio	Priestia	Limosilactobacillus	Proteus	Methylobacterium	Edwardsiella	Moraxella	Actinobacillus	Yersinia	Cronobacter	Xylanibacter	Pseudoduganella	Tetragenococcus	Pasteurella	Carnobacterium	Methylocystis	Leclercia	Aggregatibacter	Acidovorax	Phyllobacterium	Raoultella	Burkholderiales_unclassified_order	Providencia	Aquibium	Erwinia	Companilactobacillus	Methylorubrum	Selenomonas	Atlantibacter	Lysinibacillus	Pectobacterium	Kluyvera	Melissococcus	Paracidovorax	Stutzerimonas	Aeromonas	Aminobacter	Vagococcus	Filifactor	Hydrogenophaga	Phascolarctobacterium	Lactococcus	Gudongella	Neisseria	Azospira	Novosphingobium	Latilactobacillus	Aquabacterium	Capnocytophaga	Kosakonia	Listeria	Leptothrix	Sphaerotilus	Massilia	Rubrivivax	Schaalia	Diaphorobacter	Actinomyces	Devosia	Cupriavidus	Roseateles	Weissella	Herbaspirillum	Sphingobium	Leuconostoc	Ottowia	Chromobacterium	Cloacibacterium	Comamonas	Eikenella	Glaesserella	Sphingosinicella	Hyphomicrobium	Rhodoferax	Cytobacillus	Kingella	Lapidilactobacillus	Kocuria	Brevundimonas	Delftia	Sphingosinithalassobacter	Pasteurellaceae_unclassified_family	Avibacterium	Rhodopseudomonas	Rhizorhabdus	Caminibacter	Bibersteinia	Bradyrhizobium	Bosea	Paenacidovorax	Variovorax	Methylibium	Afipia	Breoghania	Caenibius	Microvirga	Rothia	Polaromonas	Croceicoccus	Bordetella	Ancylobacter	Blastochloris	Paracoccus	Stella	Burkholderia	Tsuneonella	Ochrobactrum	Tardibacter	Sphingopyxis	Xanthomonas	Roseomonas	Altererythrobacter	Micrococcus	Collimonas	Vitreoscilla	Sphingorhabdus	Alicycliphilus	Anabaena	Inhella	Rodentibacter	Caulobacter	Alysiella	Salinicoccus	Ramlibacter	Paraburkholderia	Acetobacter	Porphyrobacter	Synechococcus	Denitratisoma	Erythrobacter	Nitrobacter	Neorhizobium	Undibacterium	Oscillatoria	Parasphingopyxis	Pandoraea	Mycetohabitans	Caballeronia	Qipengyuania	Zymomonas	Blastomonas	Sulfuricystis	Rhodoplanes	Betaproteobacteria_unclassified_class	Phenylobacterium
2022_06_04_P23469-21_16S_pda_human_ffpe	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	1	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	6	0	22	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2022_06_04_P427-21_16S_pda_human_ffpe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	31	0	0	0	0	0	0	0	0	0	1	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	525	11	0	0	0	0	0	42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	0	0	0	7	2	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2022_06_04_P31311-21_16S_pda_human_ffpe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	0	0	43	0	0	24	0	0	0	5	0	0	0	0	0	0	0	0	0	17	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
2022_06_04_P13553-21_16S_pda_human_ffpe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	55	0	3	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	89	0	2	0	0	0	0	0	0	83	1	0	0	0	0	0	0	0	0	0	1	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_06_04_P16884-21_16S_pda_human_ffpe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	70	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_07_13_P32032-21_16S_pda_human_ffpe	0	0	0	0	0	0	0	0	0	863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	33	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_07_13_P21305-21_16S_pda_human_ffpe	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	263	0	0	1	0	0	390	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	3	28	0	0	0	0	0	3	0	0	0	0	0	6	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
2022_07_13_P9034-21_16S_pda_human_ffpe	0	0	0	0	0	0	0	0	0	3	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	32628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	44	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	1	1	0	1	0	0	0	0	10	0	1	0	0	0	0	19	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2024_02_21_PDAML265_16S_pda_human_ffpe	0	198	0	0	1	0	0	0	0	2865	268	0	0	0	0	0	0	203	0	0	10	1	0	0	0	0	1919	0	1916	0	0	14	2	0	1305	0	0	0	0	0	0	8	2	0	0	0	0	157	0	17	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	21	0	0	7722	0	0	0	0	0	2	0	0	63	0	1	0	0	0	0	0	0	0	0	1	0	235	0	1	0	0	0	0	0	0	0	0	0	56	11	0	0	0	11	0	0	36	0	0	0	0	0	0	20	0	0	0	0	0	43	0	0	0	31	10	21	0	262	0	0	0	12	63	3	24	0	8	0	0	1	54	0	0	243	1050	0	0	12	2	4	0	2	4	76	0	1	0	0	254	712	180	0	0	0	19	0	0	0	1	11	40	6	0	0	1	0	0	0	0	0	0	0	1012	0	1	0	1	0	139	0	0	0	13	0	39	0	26	131	0	0	1	0	0	3	0	0	0	161	1	2	0	0	0	9	0	0	0	0	3	0	0	4	0	0	0
2024_02_21_PDAUS300_16S_pda_human_ffpe	0	0	0	0	0	0	0	0	0	1378	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1738	0	3	0	0	38	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	45	0	0	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	15	0	0	0	0	0	3	0	148	0	0	0	7	69	0	23	0	0	0	0	0	52	0	0	268	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	213	1	0	0	0	0	1	0	0	0	14	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	18	11	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
