feature	Finegoldia	Anaerococcus	Lachnospiraceae_unclassified_family	Campylobacter	Mesorhizobium	Pseudomonas	Faecalibacterium	Peptostreptococcaceae_unclassified_family	Blautia	Streptococcus	Peptoniphilus	Anaerobutyricum	Clostridium	Anaerostipes	Dialister	Mediterraneibacter	Ruminococcus	Escherichia	Lachnospira	Aminipila	Shigella	Mogibacterium	Massilistercora	Romboutsia	Pseudobutyrivibrio	Lactobacillus	Stenotrophomonas	Phocaeicola	Cutibacterium	Roseburia	Lachnoclostridium	Acinetobacter	Sinorhizobium	Ruthenibacterium	Staphylococcus	Janthinobacterium	Eubacteriales.Family.XIII..Incertae.Sedis_unclassified_family	Lacrimispora	Enterococcus	Bacteroides	Megasphaera	Salmonella	Enterobacter	Hungatella	Enterocloster	Haemophilus	Corynebacterium	Veillonella	Ligilactobacillus	Brucella	Agrobacterium	Ralstonia	Peptacetobacter	Gemella	Bacillus	Anaerocolumna	Acetivibrio	Fusobacterium	Mammaliicoccus	Tannerella	Lachnoanaerobaculum	Herbinix	Porphyromonas	Prevotella	Yokenella	Mannheimia	Paraclostridium	Piscinibacter	Serratia	Citrobacter	Sphingomonas	Clostridioides	Crassaminicella	Klebsiella	Butyrivibrio	Segatella	Rhizobium	Parvimonas	Abiotrophia	Aerococcus	Alkaliphilus	Pantoea	Mixta	Jeotgalibaca	Sodalis	Enterobacteriaceae_unclassified_family	Vibrio	Priestia	Limosilactobacillus	Proteus	Methylobacterium	Edwardsiella	Moraxella	Actinobacillus	Yersinia	Cronobacter	Xylanibacter	Pseudoduganella	Tetragenococcus	Pasteurella	Carnobacterium	Methylocystis	Leclercia	Aggregatibacter	Acidovorax	Phyllobacterium	Raoultella	Burkholderiales_unclassified_order	Providencia	Aquibium	Erwinia	Companilactobacillus	Methylorubrum	Selenomonas	Atlantibacter	Lysinibacillus	Pectobacterium	Kluyvera	Melissococcus	Paracidovorax	Stutzerimonas	Aeromonas	Aminobacter	Vagococcus	Filifactor	Hydrogenophaga	Phascolarctobacterium	Lactococcus	Gudongella	Neisseria	Azospira	Novosphingobium	Latilactobacillus	Aquabacterium	Capnocytophaga	Kosakonia	Listeria	Leptothrix	Sphaerotilus	Massilia	Rubrivivax	Schaalia	Diaphorobacter	Actinomyces	Devosia	Cupriavidus	Roseateles	Weissella	Herbaspirillum	Sphingobium	Leuconostoc	Ottowia	Chromobacterium	Cloacibacterium	Comamonas	Eikenella	Glaesserella	Sphingosinicella	Hyphomicrobium	Rhodoferax	Cytobacillus	Kingella	Lapidilactobacillus	Kocuria	Brevundimonas	Delftia	Sphingosinithalassobacter	Pasteurellaceae_unclassified_family	Avibacterium	Rhodopseudomonas	Rhizorhabdus	Caminibacter	Bibersteinia	Bradyrhizobium	Bosea	Paenacidovorax	Variovorax	Methylibium	Afipia	Breoghania	Caenibius	Microvirga	Rothia	Polaromonas	Croceicoccus	Bordetella	Ancylobacter	Blastochloris	Paracoccus	Stella	Burkholderia	Tsuneonella	Ochrobactrum	Tardibacter	Sphingopyxis	Xanthomonas	Roseomonas	Altererythrobacter	Micrococcus	Collimonas	Vitreoscilla	Sphingorhabdus	Alicycliphilus	Anabaena	Inhella	Rodentibacter	Caulobacter	Alysiella	Salinicoccus	Ramlibacter	Paraburkholderia	Acetobacter	Porphyrobacter	Synechococcus	Denitratisoma	Erythrobacter	Nitrobacter	Neorhizobium	Undibacterium	Oscillatoria	Parasphingopyxis	Pandoraea	Mycetohabitans	Caballeronia	Qipengyuania	Zymomonas	Blastomonas	Sulfuricystis	Rhodoplanes	Betaproteobacteria_unclassified_class	Phenylobacterium
2024_02_21_PDAMW304_16S_pda_human_ffpe	0	218	0	0	0	0	0	0	5	295	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	137	0	242	3	12	0	1	0	472	1	0	2	5	0	0	0	0	0	2	0	0	17	0	0	0	0	0	433	104	0	0	0	0	0	0	3	0	0	0	0	0	12	0	0	20027	0	0	0	1	0	0	0	26	143	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	13	0	0	0	0	0	180	0	113	0	0	0	3	43	1	11	0	0	37	0	0	27	0	0	201	0	0	0	0	11	0	0	15	0	0	0	0	0	0	6	329	1855	0	0	0	89	1	0	0	1	4	0	13	0	0	34	0	0	2	4	0	1	0	0	0	30	0	0	3	30	0	1	1	0	0	1	7	16	8	2	0	0	0	0	0	6	1	1	5	49	15	0	0	0	0	0	0	0	0	29	0	1	2	0	0	0
2024_02_21_PDARD123_16S_pda_human_ffpe	0	646	0	0	0	254	0	0	0	40	245	0	0	0	0	0	0	392	0	0	29	0	0	0	0	0	43	0	34	0	0	336	0	0	1224	0	0	0	0	0	0	17	7	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	46	0	1	496	0	0	2	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	72	0	0	0	3	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	2	0	0	0	0	29	1	0	0	0	0	41	0	0	0	0	0	8	0	473	0	1	0	32	236	3	67	0	0	0	1	5	151	0	0	656	0	0	0	0	16	0	0	0	755	0	0	0	0	0	1	336	51	0	0	0	4	1	0	396	0	38	0	30	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	369	0	0	0	0	0	11	0	71	11	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2
2024_02_21_PDADE148_16S_pda_human_ffpe	0	4	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	199	0	0	0	0	0	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	27	0	0	0	0	10	0	0	0	0	0	1	0	113	0	0	0	6	39	0	15	0	0	0	0	0	14	0	0	28	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	235	15	0	0	0	0	0	0	1	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024_02_21_PDAMD158_16S_pda_human_ffpe	0	0	0	0	0	3	0	0	0	1196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	842	0	512	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	66	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	6	0	0	0	0	33	0	0	235	0	0	0	10	92	1	33	0	0	0	0	0	72	0	0	188	0	0	0	0	6	0	0	0	176	0	0	0	0	0	311	73	2	0	0	3	0	0	0	62	3	15	0	15	1	0	0	12	0	0	0	0	1	2	0	0	0	0	0	0	1	0	59	2	0	0	2	0	28	25	0	0	242	0	0	0	0	0	0	33	3	1	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0
2024_02_21_PDACJ160_16S_pda_human_ffpe	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	17	0	0	6	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024_02_21_PDAEF279_16S_pda_human_ffpe	0	0	0	0	0	0	0	0	0	2368	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	120	0	1	0	0	3	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	75	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	13	0	0	0	0	0	1	0	91	0	0	0	11	57	71	13	0	0	0	0	0	39	0	0	27	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	112	3	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024_02_21_PDAUG295_16S_pda_human_ffpe	1	0	1	0	0	0	0	0	4	847	407	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	872	0	10	0	0	95	0	0	42	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	3	0	0	6	2	0	0	0	0	0	0	166	0	0	0	0	0	0	25	0	0	0	0	0	31	0	0	0	0	0	8	0	320	0	0	0	31	187	3	64	0	1	0	8	0	115	0	0	327	0	0	0	0	18	0	0	1	2	9	0	0	0	0	33	60	45	0	0	0	1	0	0	0	0	35	4	20	0	0	2	1	0	0	1	0	0	1	16	0	0	0	0	1	0	14	14	0	0	0	4	0	40	1	5	0	0	0	0	0	0	2	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	5	0	1
2024_02_21_PDAMH296_16S_pda_human_ffpe	5	69	0	290	0	0	0	0	1	7912	5	0	0	12	0	2	0	0	0	0	0	0	0	0	0	0	75	0	1	13	6	2	0	0	10	0	5	0	7	0	81	0	4	0	2	2729	0	1161	243	0	0	0	0	0	1	3	0	18	0	0	11	2	0	303	0	9	0	0	9	1	55616	0	1	0	1	28	0	52	2	54	0	0	0	8	0	0	14	0	169	0	6	0	0	3	0	0	0	0	27	19	28	0	0	6	2	0	0	0	0	0	0	0	178	12	0	0	1	0	0	1	0	0	0	116	0	0	0	0	0	0	0	12	2	1	0	0	0	0	2	0	0	1	0	14	0	0	2	1	0	7	0	0	0	0	2	3	0	1	0	0	0	0	0	0	11	2	199	0	0	0	9	0	0	21	0	1	0	0	0	0	4	0	5	0	1	0	2	0	7	0	13	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	9	0	0
2024_02_21_PDAUD183_16S_pda_human_ffpe	0	0	0	0	0	281	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	278	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	30	0	0	0	0	0	0	21	1	0	0	1	0	23	0	0	0	0	3	0	0	324	0	0	0	9	156	2	35	0	1	0	0	0	61	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	412	0	0	0	0	0	0	0	106	0	22	0	38	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	18	0	0	0	0	0	3	0	26	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0
2024_02_21_PDAAB178_16S_pda_human_ffpe	56	64	0	0	8	15	0	0	0	3787	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	504	0	0	27154	2	0	365	3	59	0	5	0	0	0	1	0	0	0	24	0	0	1	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	2003	0	0	0	0	0	66	0	4	33	0	0	0	5	0	0	0	0	0	0	929	0	284	0	0	0	0	371	21	0	12	0	0	0	73	2	0	0	0	0	0	0	477	0	0	0	0	0	0	23	0	0	0	79	0	9	0	0	0	60	0	24	0	131	0	0	0	0	51	888	11	0	0	0	0	0	19	1	0	26	0	0	0	0	3	19	0	14	1	0	0	1	0	0	3580	212	16	0	0	0	8	0	0	3	1	4	1	13	0	1	1	0	0	0	0	1	2	14	4010	0	0	2	0	0	3	0	0	0	0	0	62	0	13	0	0	0	14	0	0	0	0	0	0	0	0	1	1	42	0	0	0	0	0	0	1	0	0	0	0	0	1
