feature,metadata,value,coef,stderr,N,N.not.0,pval,ref_value,pval.adj
Streptococcus__thermophilus,Control_type,Paraffin,-0.846631470286622,0.90516611460792,262,172,0.350498313640251,Buffer,0.5902563625414043
Megasphaera__massiliensis,Control_type,Paraffin,-0.33372600049989,0.370243217954553,262,27,0.368239028739168,Buffer,0.6172324474843823
Planococcus__halotolerans,Control_type,Paraffin,0.336530794352411,0.37678390002152,262,30,0.372606807779105,Buffer,0.6194129825003138
Blastomonas__fulva,Control_type,Paraffin,0.295611404865477,0.331779534108717,262,44,0.373772512205626,Buffer,0.6203694292656473
Sphingobium__sp.__YG1,Control_type,Paraffin,-0.408021154188891,0.45851655691004,262,33,0.374369965965789,Buffer,0.6204652417063189
Lactococcus__lactis,Control_type,Paraffin,0.475822752406542,0.539332541758065,262,27,0.378472661652024,Buffer,0.6245235052166263
Staphylococcus__pettenkoferi,Control_type,Paraffin,0.453466468833783,0.514241936697459,262,38,0.378703833729858,Buffer,0.6245235052166263
Ottowia__oryzae,Control_type,Paraffin,-0.328723955844289,0.372988467801254,262,31,0.378968788464348,Buffer,0.6245235052166263
Keratinibaculum__paraultunense,Control_type,Paraffin,-0.249981179645314,0.284877901248213,262,27,0.381036314543681,Buffer,0.6267833308898303
Staphylococcus__agnetis,Control_type,Paraffin,0.353613792014729,0.403380445909954,262,36,0.381511662153239,Buffer,0.627095516533318
Methylobacterium__sp.__C1,Control_type,Paraffin,-0.209193506173003,0.240939284095035,262,30,0.3860752874312,Buffer,0.6322306720349853
Comamonas__thiooxydans,Control_type,Paraffin,-0.591403534985528,0.690684324830202,262,74,0.39265620221281,Buffer,0.6373045233254477
Novosphingobium__sp.__ES2.1,Control_type,Paraffin,-0.485650901298103,0.569476456181788,262,57,0.394566044358443,Buffer,0.6380464163557739
Vagococcus__carniphilus,Control_type,Paraffin,-0.299804517194648,0.353783086866231,262,32,0.397550013950397,Buffer,0.6405134487417988
Staphylococcus__aureus,Control_type,Paraffin,0.672039486602964,0.80178147713510906,262,167,0.402709914404061,Buffer,0.6451248536181479
Sphingobium__sp.__SYK.6,Control_type,Paraffin,-0.365798849649854,0.437281599175575,262,33,0.403637394556537,Buffer,0.6451248536181479
Actinomyces__oris,Control_type,Paraffin,-0.32524761100696,0.389480123005699,262,28,0.404450522957532,Buffer,0.6451248536181479
Methylobacterium__durans,Control_type,Paraffin,-0.326227887358402,0.39686676193257,262,29,0.411836936454723,Buffer,0.6510137642940144
Lancefieldella__parvula,Control_type,Paraffin,-0.410482192926737,0.513111989720351,262,30,0.424460860066248,Buffer,0.6643735201036925
Acinetobacter__ursingii,Control_type,Paraffin,0.310572309088344,0.390169417651879,262,38,0.426773318242358,Buffer,0.6655222714800282
Massilia__oculi,Control_type,Paraffin,-0.313649439298988,0.395120773741371,262,33,0.428043261578409,Buffer,0.6658540717255285
Paracidovorax__avenae,Control_type,Paraffin,-0.416556137159949,0.532217348773727,262,41,0.434538153907932,Buffer,0.6720040746350835
Carnobacterium__viridans,Control_type,Paraffin,0.399087356477854,0.511453089135987,262,38,0.435934596984988,Buffer,0.6727423576802766
Novosphingobium__sp.__P6W,Control_type,Paraffin,0.322235409127276,0.419492400125964,262,33,0.443102776153154,Buffer,0.6795067712516245
Acinetobacter__haemolyticus,Control_type,Paraffin,0.358231613809416,0.466688867060896,262,43,0.443430686886442,Buffer,0.6795350930932496
Staphylococcus__xylosus,Control_type,Paraffin,0.275882432506053,0.360375795853121,262,31,0.444654700494568,Buffer,0.6805680145940579
Bradyrhizobium__pachyrhizi,Control_type,Paraffin,0.362751609232828,0.482398000400181,262,27,0.452756437194623,Buffer,0.6873229056453635
Methylobacterium__bullatum,Control_type,Paraffin,-0.425005418356226,0.566929096390901,262,34,0.454146418985165,Buffer,0.6873229056453635
Segatella__hominis,Control_type,Paraffin,-0.217743705591671,0.293281884500479,262,27,0.458502494010831,Buffer,0.6934376562312569
Staphylococcus__chromogenes,Control_type,Paraffin,0.389275637796463,0.526891775614539,262,52,0.46069606447307,Buffer,0.6957198341394789
Pantoea__agglomerans,Control_type,Paraffin,-0.249888475267107,0.339608755974494,262,31,0.462518257260108,Buffer,0.6975893495488991
Prevotella__sp.__oral__taxon__299,Control_type,Paraffin,-0.262818892657508,0.359673986751317,262,27,0.465621955236021,Buffer,0.7008264658658685
Variovorax__sp.__PAMC28562,Control_type,Paraffin,-0.329110474285135,0.451822918375714,262,31,0.467030928108172,Buffer,0.7011327852713155
Campylobacter__ureolyticus,Control_type,Paraffin,0.205713372512508,0.287969147034274,262,28,0.475656026714388,Buffer,0.7105718603161878
Massilia__sp.__H6,Control_type,Paraffin,-0.45822567038712,0.644607205806898,262,41,0.477817951050276,Buffer,0.7128316715396781
Schaalia__odontolytica,Control_type,Paraffin,-0.392996490472676,0.558129290151229,262,32,0.481990803257689,Buffer,0.7160494583659052
Novosphingobium__sp.__EMRT.2,Control_type,Paraffin,-0.293645571034885,0.420768082209926,262,29,0.485885706296358,Buffer,0.7180383654285344
Massilia__sp.__Dwa41.01b,Control_type,Paraffin,-0.398993354825557,0.587485264426236,262,30,0.497653434939223,Buffer,0.726517593928219
Zymomonas__mobilis,Control_type,Paraffin,0.372971174795821,0.549487317933937,262,56,0.497901749076841,Buffer,0.726517593928219
Bacillus__velezensis,Control_type,Paraffin,0.44923269141433,0.662998928661301,262,55,0.498651956922596,Buffer,0.726517593928219
Bacillus__halotolerans,Control_type,Paraffin,-0.315475373906913,0.466843077527425,262,28,0.499800980482172,Buffer,0.726517593928219
Massilia__sp.__WG5,Control_type,Paraffin,-0.295979124055091,0.44386065190431,262,36,0.505481965057677,Buffer,0.7283497391800905
Sphingomonas__sp.__AP4.R1,Control_type,Paraffin,-0.306983721575025,0.468852086912818,262,46,0.513212702530769,Buffer,0.735169663899262
Sphaerotilus__sulfidivorans,Control_type,Paraffin,-0.323499614609587,0.498214631664784,262,36,0.516715132572337,Buffer,0.7387411660995131
Alicycliphilus__denitrificans,Control_type,Paraffin,-0.261564329297,0.409733847128168,262,28,0.523799491663627,Buffer,0.7411492807302352
Staphylococcus__haemolyticus,Control_type,Paraffin,0.438450460506853,0.691975858876614,262,122,0.526893855119742,Buffer,0.7440893285163688
Enterococcus__cecorum,Control_type,Paraffin,-0.308039007369097,0.491649446863425,262,29,0.531517817639393,Buffer,0.7480761449369407
Sphaerotilus__microaerophilus,Control_type,Paraffin,-0.262935700708848,0.434242745048245,262,32,0.54538061465849,Buffer,0.7578926968540687
Lawsonella__clevelandensis,Control_type,Paraffin,0.290972126737849,0.49042054840703,262,35,0.553496551676447,Buffer,0.7636139114812727
Comamonas__odontotermitis,Control_type,Paraffin,-0.264195303710551,0.451467938150282,262,39,0.558934257285002,Buffer,0.7680973898609915
Acinetobacter__baumannii,Control_type,Paraffin,0.490916021125227,0.849760402844991,262,139,0.563966952493927,Buffer,0.768839160963469
Variovorax__sp.__38R,Control_type,Paraffin,-0.284123385540733,0.507104733609854,262,44,0.575774748404224,Buffer,0.7757063481568565
Staphylococcus__capitis,Control_type,Paraffin,0.492407379976021,0.883657314610821,262,94,0.57785174693961,Buffer,0.7770743639187896
Anaerococcus__vaginalis,Control_type,Paraffin,-0.326664334415083,0.587479044145742,262,35,0.578666278905209,Buffer,0.7776383602691059
Carnobacterium__divergens,Control_type,Paraffin,-0.178034883410177,0.3233797015671,262,35,0.582426116279136,Buffer,0.7776383602691059
Delftia__tsuruhatensis,Control_type,Paraffin,-0.372181459812896,0.702889064753112,262,97,0.596915839191527,Buffer,0.7861293026228937
Sphingomonas__aerolata,Control_type,Paraffin,0.311822887267238,0.595616575438865,262,59,0.601058672578742,Buffer,0.7880238917283596
Lactococcus__cremoris,Control_type,Paraffin,0.339544466207794,0.64915541143859,262,43,0.601387879510812,Buffer,0.7880238917283596
Carnobacterium__sp.__CP1,Control_type,Paraffin,-0.159443173571962,0.307273573411748,262,27,0.604281200986468,Buffer,0.7898013973143154
Novosphingobium__decolorationis,Control_type,Paraffin,-0.311586857215552,0.600784237238991,262,64,0.604464315140439,Buffer,0.7898013973143154
Brevundimonas__bullata,Control_type,Paraffin,0.215131307600578,0.41635444882399397,262,27,0.605810055937002,Buffer,0.7904687360889224
Paucibacter__aquatile,Control_type,Paraffin,-0.21605408762417,0.420147484373351,262,30,0.607532073881765,Buffer,0.7912396140787344
Epilithonimonas__vandammei,Control_type,Paraffin,-0.280625736710753,0.571980710265735,262,32,0.62411481219002,Buffer,0.8024333299585972
Acetoanaerobium__sticklandii,Control_type,Paraffin,-0.173028156632166,0.354964389976848,262,28,0.626355097931925,Buffer,0.8048424780915784
Limnohabitans__sp.__63ED37.2,Control_type,Paraffin,0.276682241824713,0.585479080749209,262,40,0.636919698602071,Buffer,0.8126156073373583
Rothia__mucilaginosa,Control_type,Paraffin,-0.253793790871578,0.549034088724651,262,31,0.644291034811273,Buffer,0.8145441061862727
Staphylococcus__sp.__NRL__22.194,Control_type,Paraffin,-0.213187873494948,0.465621706815969,262,57,0.647443992194789,Buffer,0.8147323729759115
Bordetella__pertussis,Control_type,Paraffin,-0.178534990259954,0.392964589848223,262,29,0.649977420831957,Buffer,0.8147861678243143
Staphylococcus__saprophyticus,Control_type,Paraffin,0.252130928969249,0.573828816588247,262,55,0.660754319023312,Buffer,0.8225717032739192
Sphingopyxis__sp.__OPL5,Control_type,Paraffin,0.145658720778579,0.35593147967254,262,31,0.682711236713125,Buffer,0.8375608244815766
Planococcus__sp.__MB.3u.03,Control_type,Paraffin,0.141660541092472,0.347701527021304,262,29,0.684040049980907,Buffer,0.8387224733434235
Comamonas__terrigena,Control_type,Paraffin,-0.199600212541548,0.490870490885344,262,42,0.684623169114437,Buffer,0.83896901750854
Variovorax__sp.__PAMC__28711,Control_type,Paraffin,-0.204027354827519,0.506947459097576,262,42,0.687679513401035,Buffer,0.8394353593266665
Pseudoduganella__armeniaca,Control_type,Paraffin,-0.151635212387435,0.37596511092605,262,37,0.687047597648184,Buffer,0.8394353593266665
Comamonas__fluminis,Control_type,Paraffin,0.190733592925235,0.479300625674234,262,29,0.691004978801356,Buffer,0.8414836888504481
Variovorax__paradoxus,Control_type,Paraffin,0.370049862459229,0.933930079874698,262,75,0.692266405302257,Buffer,0.8414836888504481
