feature,metadata,value,coef,stderr,N,N.not.0,pval,ref_value,pval.adj
Sphingomonas__sanguinis,Control_type,Paraffin,5.45588574742379,0.923734509203769,262,114,1.10861172469541e-8,PCR,2.7050126082568004e-6
Sphingomonas__abietis,Control_type,Paraffin,2.96973263055838,0.601488174957869,262,43,1.42985336910966e-6,PCR,1.7444211103137853e-4
Brevundimonas__sp.__C43,Control_type,Paraffin,3.36136646895158,0.686739366682234,262,45,1.74438258860568e-6,PCR,2.0161390339884595e-4
Mesorhizobium__terrae,Control_type,Buffer,6.06825626633154,1.31199337172002,262,103,5.94490121397183e-6,PCR,5.292094772588296e-4
Burkholderia__contaminans,Control_type,Buffer,5.42382441779389,1.18441705594773,262,91,7.28685516523065e-6,PCR,6.154589978017888e-4
Chryseomicrobium__sp.__FSL__W7.1435,Control_type,Buffer,-3.1315182372363,0.700518255563188,262,29,1.17432743347618e-5,PCR,9.551196458939597e-4
Sphingomonas__paucimobilis,Control_type,Paraffin,5.48736923518918,1.24311895734499,262,156,1.49590361291687e-5,PCR,0.001173215833559088
Burkholderia__cenocepacia,Control_type,Buffer,5.1927676086,1.20527020920681,262,76,2.34624436924821e-5,PCR,0.0016798207093786006
Sphingomonas__sp.__LK11,Control_type,Paraffin,2.41670230693612,0.577863686864872,262,36,3.96971622585967e-5,PCR,0.0024715609758127343
Diaphorobacter__aerolatus,Control_type,Paraffin,-1.99002666493421,0.477686863026342,262,30,4.24250152579945e-5,PCR,0.002517981986663674
Diaphorobacter__sp.__JS3050,Control_type,Paraffin,-3.99020814009658,1.00884800765352,262,45,9.90427496784105e-5,PCR,0.004202084043366024
Brevundimonas__vesicularis,Control_type,Paraffin,3.23241010598289,0.818497680704028,262,53,1.0141641816867e-4,PCR,0.004202084043366024
Ralstonia__sp.__RRA.1,Control_type,Buffer,3.70791832799441,0.938855283366158,262,94,1.0133476747764e-4,PCR,0.004202084043366024
Sphingomonas__hankookensis,Control_type,Paraffin,4.57620342951265,1.16178470654008,262,200,1.055898099282e-4,PCR,0.004215913138224131
Diaphorobacter__aerolatus,Control_type,Buffer,-1.64194602332076,0.417964945315622,262,30,1.1003650943594e-4,PCR,0.004315003120023647
Burkholderia__lata,Control_type,Buffer,4.00954194982619,1.0263275170337,262,72,1.1980278868346e-4,PCR,0.0045730374722322085
Prevotella__histicola,Control_type,Paraffin,-3.35819821165471,0.860061300888701,262,44,1.2078149972198e-4,PCR,0.0045730374722322085
Brevundimonas__diminuta,Control_type,Paraffin,4.62619614041887,1.19805595518777,262,70,1.4283804475599e-4,PCR,0.004978926131494508
Salmonella__enterica,Control_type,Buffer,4.79538012722864,1.24693921772007,262,93,1.5176292996079e-4,PCR,0.005062351728966437
Diaphorobacter__nitroreducens,Control_type,Paraffin,-3.5522833383367,0.923984042580821,262,38,1.5246172813116e-4,PCR,0.005062351728966437
Burkholderia__glumae,Control_type,Buffer,4.04741238372792,1.05369494547082,262,76,1.5445244346118e-4,PCR,0.005062351728966437
Sphingomonas__sp.__R1,Control_type,Paraffin,3.40208710964737,0.896641517372938,262,91,1.8486994569507e-4,PCR,0.005341768430873338
Ralstonia__solanacearum,Control_type,Buffer,2.92175140983427,0.771308249315426,262,72,1.8929734094598e-4,PCR,0.005398661827498339
Prevotella__histicola,Control_type,Buffer,-2.75783632757766,0.75253372537106,262,44,3.0095949331833e-4,PCR,0.008170756433132937
Janthinobacterium__lividum,Control_type,Buffer,2.66330581960762,0.730893119906678,262,84,3.2508778279662e-4,PCR,0.008706009402699727
Sphingomonas__sp.__Y38.1Y,Control_type,Paraffin,3.58126993453781,1.01353987924511,262,142,4.8654963781285e-4,PCR,0.011554742392870146
Rhodobacter__capsulatus,Control_type,Buffer,-2.03517603190956,0.583839519586534,262,27,5.7707886869286e-4,PCR,0.013339633638416006
Sphingomonas__sanxanigenens,Control_type,Paraffin,2.01613472174853,0.581431573875124,262,50,6.1595209920665e-4,PCR,0.013802355202630645
Planococcus__donghaensis,Control_type,Buffer,-2.03929395191573,0.589920527794173,262,29,6.3964927324958e-4,PCR,0.013895122093916577
Burkholderia__cepacia,Control_type,Buffer,2.9093587011165,0.8422258149042,262,62,6.454018458923e-4,PCR,0.013895122093916577
Planococcus__halotolerans,Control_type,Buffer,-1.69235053515689,0.494841463462928,262,30,7.286361689563e-4,PCR,0.014907757653394173
Streptococcus__gordonii,Control_type,Buffer,4.47132594602193,1.30957339808038,262,118,7.4323087457865e-4,PCR,0.01490912774077167
Shigella__flexneri,Control_type,Buffer,3.20282799709267,0.946909119685927,262,87,8.3102956642613e-4,PCR,0.015732249378205013
Lancefieldella__parvula,Control_type,Paraffin,-2.59746047979904,0.770174875534413,262,30,8.599851759086e-4,PCR,0.015869978540296516
Haemophilus__parainfluenzae,Control_type,Buffer,3.64179110304133,1.08700655577165,262,80,9.2898978316835e-4,PCR,0.016449923315883134
Prevotella__melaninogenica,Control_type,Paraffin,-4.49617287700834,1.34293961854581,262,61,9.3635720149608e-4,PCR,0.016449923315883134
Burkholderia__pyrrocinia,Control_type,Buffer,2.60862342412163,0.783788935135369,262,60,0.00100245769968968,PCR,0.01717441427228944
Burkholderia__pseudomallei,Control_type,Buffer,3.20960880343775,0.965097981550331,262,71,0.00101125095674686,PCR,0.01717441427228944
Tardibacter__chloracetimidivorans,Control_type,Paraffin,1.33915827745609,0.402861229473986,262,31,0.00101670029845065,PCR,0.01717441427228944
Acidovorax__temperans,Control_type,Paraffin,-2.55124891576796,0.779339725064968,262,29,0.001208155881527,PCR,0.01927163028124992
Ralstonia__insidiosa,Control_type,Buffer,3.23781537725816,0.989281440230901,262,89,0.00121105873352117,PCR,0.01927163028124992
Lancefieldella__parvula,Control_type,Buffer,-2.18697828687232,0.673885184316771,262,30,0.0013294424490708,PCR,0.020705358994038844
Streptococcus__sp.__Marseille.Q3533,Control_type,Buffer,3.41523866921729,1.05754422964522,262,118,0.00140262237538769,PCR,0.021531773085220255
Janthinobacterium__svalbardensis,Control_type,Buffer,2.40569060783688,0.749873128674855,262,67,0.00150623805506358,PCR,0.022501352169521236
Sphingomonas__changnyeongensis,Control_type,Paraffin,2.94602599612991,0.927693326014739,262,113,0.00167819962705041,PCR,0.0242455682960704
Escherichia__albertii,Control_type,Buffer,3.57447451611439,1.13454511899148,262,97,0.00182312720762923,PCR,0.02599732044125837
Ralstonia__pseudosolanacearum,Control_type,Buffer,2.05914120563888,0.654630606710478,262,55,0.0018538633853238,PCR,0.026096692270327338
Brevundimonas__nasdae,Control_type,Paraffin,1.93265778692001,0.621019106299129,262,37,0.00206841754750213,PCR,0.028212701455370668
Burkholderia__aenigmatica,Control_type,Buffer,2.10995613542231,0.678884410093338,262,57,0.00209625003278033,PCR,0.02831400683164052
Streptococcus__pluranimalium,Control_type,Buffer,2.69497326166468,0.867351309215132,262,80,0.00210203406039549,PCR,0.02831400683164052
Burkholderia__ambifaria,Control_type,Buffer,2.19579861167504,0.708507604918335,262,54,0.00215708157319173,PCR,0.02853585020921108
Granulicatella__adiacens,Control_type,Paraffin,-4.73345305303398,1.53042400421954,262,123,0.00220158908353042,PCR,0.028777914449004773
Qipengyuania__sediminis,Control_type,Paraffin,1.68865654418472,0.551366866627016,262,27,0.00242771435327613,PCR,0.031176963273651354
Prevotella__melaninogenica,Control_type,Buffer,-3.58303821015853,1.17504107329142,262,61,0.00253451445013288,PCR,0.03235926588658026
Streptococcus__sp.__NPS__308,Control_type,Buffer,3.51680791004948,1.1550721783137,262,103,0.00257238947993668,PCR,0.0324653292985112
Sphingomonas__sp.__NIBR02145,Control_type,Paraffin,3.05206910975457,1.00241477856172,262,97,0.0025719627902362,PCR,0.0324653292985112
Diaphorobacter__sp.__JS3050,Control_type,Buffer,-2.67936409555111,0.882718648947702,262,45,0.0026502599455988,PCR,0.03269646539626385
Erythrobacter__mangrovi,Control_type,Paraffin,2.04089589670289,0.676738351229451,262,44,0.0028210663847268,PCR,0.0342268606677351
Burkholderia__arboris,Control_type,Buffer,1.97971035331259,0.657400129573924,262,55,0.00286046041798959,PCR,0.03451412680167659
Streptococcus__sp.__116.D4,Control_type,Buffer,3.43767430496204,1.14647448848969,262,124,0.00298048547135216,PCR,0.035188957500480345
Roseateles__amylovorans,Control_type,Buffer,2.75399432325932,0.923674310664841,262,62,0.0031441791088996,PCR,0.03604701720379027
Comamonas__aquatica,Control_type,Buffer,-2.6228310319721,0.879904955864021,262,53,0.00315165177738057,PCR,0.03604701720379027
Janthinobacterium__agaricidamnosum,Control_type,Buffer,1.85030146376815,0.621153424645928,262,47,0.00317155363875832,PCR,0.036086693216130936
Diaphorobacter__nitroreducens,Control_type,Buffer,-2.37908893871486,0.80846464435532,262,38,0.00355182395798639,PCR,0.038999027058690565
Prevotella__denticola,Control_type,Paraffin,-1.23744846182254,0.423644111335551,262,27,0.0038008434761404,PCR,0.03974596320763961
Burkholderia__gladioli,Control_type,Buffer,1.59938656314061,0.554547261107696,262,52,0.00425890500971118,PCR,0.04329886759873033
Streptococcus__gwangjuense,Control_type,Buffer,3.33079948441986,1.15662766121259,262,141,0.00431659637764412,PCR,0.04368315965579026
Streptococcus__sp.__D7B5,Control_type,Buffer,3.24621585402349,1.13024932327798,262,128,0.00441877416217052,PCR,0.04430880392751809
Prevotella__jejuni,Control_type,Paraffin,-2.37372721164225,0.827832165672226,262,39,0.00448313518313548,PCR,0.04454735231749101
Janthinobacterium__sp.__LM6,Control_type,Buffer,2.2756737492657,0.793572425291897,262,55,0.00447997296363055,PCR,0.04454735231749101
Enterobacter__hormaechei,Control_type,Buffer,2.28286959189951,0.802041445922822,262,65,0.00478096168529411,PCR,0.046668306999777635
Comamonas__terrigena,Control_type,Buffer,-1.83069005813015,0.644674764677038,262,42,0.00487804380265856,PCR,0.04739904509131945
Burkholderia__sp.__KBS0801,Control_type,Buffer,1.59077427964664,0.564766548517599,262,47,0.00523012143474425,PCR,0.04950580461507919
Burkholderia__thailandensis,Control_type,Buffer,3.06197923935849,1.08844086547636,262,71,0.00528586337791111,PCR,0.04981869518408926
Burkholderia__vietnamiensis,Control_type,Buffer,1.5419827373891,0.548639934996506,262,47,0.00532783836616517,PCR,0.049927059220058634
Roseateles__depolymerans,Control_type,Buffer,2.59193332678106,0.92270380949714,262,50,0.00535183564606126,PCR,0.049927059220058634
Shigella__dysenteriae,Control_type,Buffer,1.63889927082373,0.583933868719348,262,61,0.00539082641447204,PCR,0.049927059220058634
Burkholderia__mallei,Control_type,Buffer,1.4062885325299,0.500901608089555,262,49,0.00537685153431146,PCR,0.049927059220058634
Burkholderia__sp.__FERM__BP.3421,Control_type,Buffer,1.62463284255054,0.580727092698379,262,50,0.00553979624851523,PCR,0.05068913567391435
Staphylococcus__pettenkoferi,Control_type,Buffer,-1.88136148178084,0.675369177172505,262,38,0.00574104773630453,PCR,0.051590524257651725
Intestinibacter__bartlettii,Control_type,Buffer,1.76427457819791,0.633842122172973,262,48,0.0057792663785894,PCR,0.051590524257651725
Ralstonia__wenshanensis,Control_type,Buffer,1.95168230282491,0.704151099071788,262,53,0.00598613247815954,PCR,0.0526235607316728
Chryseomicrobium__sp.__FSL__W7.1435,Control_type,Paraffin,-2.21397477306091,0.800613476663631,262,29,0.00610010691808322,PCR,0.0533698597295249
Streptococcus__sp.__FSL__W8.0197,Control_type,Buffer,3.76453544495682,1.36209694192877,262,142,0.00612863584348191,PCR,0.05340668377891378
Comamonas__terrigena,Control_type,Paraffin,-2.03029027067168,0.736790655441863,262,42,0.0062796313199584,PCR,0.05450620703015275
Bradyrhizobium__sp.__170,Control_type,Paraffin,1.88044840443528,0.685704456728372,262,38,0.00653051087336595,PCR,0.05558527859655668
Gemella__sanguinis,Control_type,Paraffin,-3.05235430395694,1.11619857381651,262,99,0.00668192838488607,PCR,0.05600578142446492
Janthinobacterium__tructae,Control_type,Buffer,2.27407058885797,0.831411826499063,262,79,0.00667023736547093,PCR,0.05600578142446492
Sphingomonas__sp.__NIC1,Control_type,Paraffin,3.16116974249042,1.16330251271935,262,112,0.00702858228448218,PCR,0.058244402629142905
Shigella__boydii,Control_type,Buffer,1.97973824095396,0.736646907953896,262,68,0.00767074279136964,PCR,0.06085539237518638
Acinetobacter__indicus,Control_type,Buffer,-1.05534174292427,0.39273940308343,262,39,0.0076790026914868,PCR,0.06085539237518638
Bradyrhizobium__arachidis,Control_type,Paraffin,1.53208048992322,0.570720406113686,262,27,0.00773870239334322,PCR,0.06085539237518638
Paracoccus__stylophorae,Control_type,Paraffin,2.25915821288722,0.842238723437864,262,34,0.00778705157442048,PCR,0.06085539237518638
Prevotella__intermedia,Control_type,Paraffin,-1.95463708289818,0.72922554307352,262,32,0.00783007933929323,PCR,0.06097466038683664
Burkholderia__anthina,Control_type,Buffer,1.69087156819808,0.631405472747877,262,44,0.00788666348434952,PCR,0.06098279229447727
Schaalia__odontolytica,Control_type,Paraffin,-2.23999326683782,0.837745297685614,262,32,0.00798132915216673,PCR,0.061498241467221534
Janthinobacterium__sp.__HH102,Control_type,Buffer,1.53616794362081,0.576335938663681,262,40,0.00817859892062342,PCR,0.06279791339052108
Mediterraneibacter__gnavus,Control_type,Buffer,2.10553751764788,0.791376082069481,262,37,0.00829286598577978,PCR,0.06323310314157082
Peptostreptococcus__equinus,Control_type,Buffer,2.83381734145823,1.06595270100294,262,53,0.00834377501713485,PCR,0.06335858798560931
Paracoccus__albus,Control_type,Paraffin,2.24952748998148,0.849447812735607,262,43,0.00859418088356761,PCR,0.06437883126124404
Enterobacter__roggenkampii,Control_type,Buffer,1.44319875879354,0.545363940662849,262,64,0.00864176810948257,PCR,0.06437883126124404
Prevotella__sp.__oral__taxon__299,Control_type,Paraffin,-1.42816860681288,0.539866293379997,262,27,0.00866397124386267,PCR,0.06437883126124404
Paracoccus__aestuarii,Control_type,Paraffin,2.7108313183354,1.02672856847975,262,64,0.00879314796700447,PCR,0.06479782864275778
Comamonas__aquatica,Control_type,Paraffin,-2.64805528713063,1.00563227332526,262,53,0.00897241866328426,PCR,0.06529003823684028
Marinilactibacillus__sp.__15R,Control_type,Buffer,-2.21589698601781,0.842332160293664,262,37,0.00903832951912543,PCR,0.06529003823684028
Streptococcus__sp.__SP4011,Control_type,Buffer,2.59359852054831,0.985893203061325,262,140,0.0090372804536419191,PCR,0.06529003823684028
Diaphorobacter__sp.__C33,Control_type,Paraffin,-1.22494941660537,0.465515418089423,262,28,0.00901986290267113,PCR,0.06529003823684028
Burkholderia__dolosa,Control_type,Buffer,1.43117188155577,0.544710226832256,262,47,0.00912326570482786,PCR,0.06563695057691532
Klebsiella__pneumoniae,Control_type,Buffer,2.94043947005418,1.11951696439975,262,88,0.00914613245743902,PCR,0.06563695057691532
Segatella__oris,Control_type,Paraffin,-1.976010078675,0.755117488730474,262,37,0.00940302860326447,PCR,0.06689211758830599
Roseateles__sp.__XES5,Control_type,Buffer,1.70044069339591,0.65383085211336,262,44,0.00984343389812861,PCR,0.0686227963183823
Burkholderia__stagnalis,Control_type,Buffer,1.48932407225996,0.577501623370415,262,44,0.010470377341233,PCR,0.07207820890704598
Burkholderia__multivorans,Control_type,Buffer,1.32840452364683,0.517915166743748,262,42,0.0108911447051568,PCR,0.07429035046933731
Prevotella__denticola,Control_type,Buffer,-0.94838463660779,0.370678788832181,262,27,0.0110884495773013,PCR,0.0746383062043607
Bradyrhizobium__ontarionense,Control_type,Paraffin,1.44493734928123,0.56495709889098,262,29,0.0111165309772414,PCR,0.0746383062043607
Burkholderia__mayonis,Control_type,Buffer,1.40675608125697,0.552917409683588,262,41,0.0115397982057109,PCR,0.07679211169618526
Shigella__sonnei,Control_type,Buffer,1.44904842766993,0.570104519453944,262,52,0.0116211657875707,PCR,0.07709993978702495
Bradyrhizobium__commune,Control_type,Paraffin,1.66348283632908,0.658056256734507,262,38,0.0120778689233861,PCR,0.0784885030376737
Acidovorax__temperans,Control_type,Buffer,-1.71934179411393,0.681904215463234,262,29,0.0122973218994091,PCR,0.07942623203265406
Schaalia__odontolytica,Control_type,Buffer,-1.84699677636517,0.733007739248374,262,32,0.0123530757772,PCR,0.07955235896402112
Citrobacter__freundii,Control_type,Buffer,1.40248561052785,0.556943834655295,262,52,0.0124068861001188,PCR,0.07966526864286809
Streptococcus__oralis,Control_type,Buffer,3.0884775928096,1.22865780835184,262,180,0.0125616885221755,PCR,0.08019031393807383
Burkholderia__sp.__MSMB617WGS,Control_type,Buffer,1.35403260122085,0.541885868499699,262,38,0.0130909966886051,PCR,0.0827223063997483
Stenotrophomonas__sp.__G4,Control_type,Buffer,-1.37842407794305,0.551757616586201,262,27,0.0131089993748235,PCR,0.0827223063997483
Brevundimonas__mediterranea,Control_type,Paraffin,2.37083579974217,0.94985772770672094,262,53,0.0131904644767509,PCR,0.08299787963021484
Romboutsia__sp.__CE17,Control_type,Buffer,1.85064192269519,0.742699731583348,262,33,0.0133441290863007,PCR,0.08372487849576096
Burkholderia__metallica,Control_type,Buffer,1.00151919163626,0.404004871348644,262,40,0.0138206778188564,PCR,0.08510369290930733
Stenotrophomonas__maltophilia,Control_type,Paraffin,3.30267592541245,1.3345579860097,262,105,0.0139820067328596,PCR,0.08562464576185415
Burkholderia__sp.__JP2.270,Control_type,Buffer,1.16095561548258,0.469201915968741,262,40,0.0139978359874798,PCR,0.08562464576185415
Methylorubrum__populi,Control_type,Paraffin,2.8969047718049,1.1726996027264,262,59,0.0141528318792196,PCR,0.08633227446323954
Prevotella__sp.__oral__taxon__299,Control_type,Buffer,-1.16534971415538,0.472370507241424,262,27,0.0142793363200908,PCR,0.08644805723224923
Blautia__luti,Control_type,Buffer,1.7753888521521,0.72057238942839,262,35,0.0144030431594782,PCR,0.08644805723224923
Anaerobutyricum__hallii,Control_type,Buffer,1.99955676136205,0.812008434556177,262,35,0.0144571256516832,PCR,0.08644805723224923
Veillonella__atypica,Control_type,Paraffin,-3.47912895296612,1.41368463052147,262,85,0.0145141624900365,PCR,0.08644805723224923
Latilactobacillus__sakei,Control_type,Paraffin,-1.44590982308016,0.58764799174635,262,31,0.0145352210189721,PCR,0.08644805723224923
Blautia__sp.__SC05B48,Control_type,Buffer,1.69604005693241,0.691657154433143,262,32,0.0148693312425473,PCR,0.08756442208199788
Streptococcus__sp.__1643,Control_type,Buffer,2.20170688938252,0.8979067013453,262,115,0.0148731919110133,PCR,0.08756442208199788
Sphingobium__xenophagum,Control_type,Paraffin,1.51743020590978,0.621465801042353,262,29,0.0152961183036687,PCR,0.0895740687862839
Cloacibacterium__normanense,Control_type,Paraffin,-2.56867780082058,1.0552586825161001,262,41,0.0156103659245918,PCR,0.09056652756541193
Klebsiella__electrica,Control_type,Buffer,1.2008534949474,0.494702656706966,262,56,0.0158967802861042,PCR,0.0908440537975028
Brevundimonas__sp.__GW460.12.10.14.LB2,Control_type,Paraffin,2.25399981923448,0.928822880726624,262,61,0.0159266669909101,PCR,0.0908440537975028
Acinetobacter__indicus,Control_type,Paraffin,-1.08297650275434,0.448856909050334,262,39,0.0165364163486444,PCR,0.09359270696294615
Ralstonia__pickettii,Control_type,Buffer,1.29557659109563,0.538068095806693,262,47,0.0167554912607489,PCR,0.09410500974067669
Roseburia__sp.__499,Control_type,Buffer,1.30201931860323,0.540446283685404,262,30,0.0166961290250191,PCR,0.09410500974067669
Tsuneonella__sp.__CC.YZS046,Control_type,Paraffin,0.892514515624536,0.370560547106046,262,30,0.0167231247186896,PCR,0.09410500974067669
Dialister__succinatiphilus,Control_type,Buffer,1.38853397198397,0.57785871567898,262,48,0.016978112284094,PCR,0.09438930449684663
Streptococcus__vestibularis,Control_type,Buffer,2.76653454365958,1.15213738156182,262,101,0.0170543083962202,PCR,0.09438930449684663
Peptoniphilus__equinus,Control_type,Buffer,1.58463354303799,0.660631402248953,262,46,0.0171710119878978,PCR,0.09438930449684663
Planococcus__halotolerans,Control_type,Paraffin,-1.35581974080447,0.56554806575578,262,30,0.0172311288085409,PCR,0.09438930449684663
Streptococcus__sp.__DTU_2020_1001019_1_SI_AUS_MUR_006,Control_type,Buffer,2.6825237806939,1.11893782147805,262,138,0.0172298104504756,PCR,0.09438930449684663
Cutibacterium__acnes,Control_type,Buffer,-2.66061251174442,1.11009409936826,262,206,0.0172592110485809,PCR,0.09438930449684663
Burkholderia__oklahomensis,Control_type,Buffer,1.2400641680666,0.517763219210165,262,38,0.0173378144151722,PCR,0.09438930449684663
Burkholderia__sp.__MS455,Control_type,Buffer,1.21442054539786,0.507078537620811,262,38,0.0173426800334763,PCR,0.09438930449684663
Mitsuaria__sp.__7,Control_type,Buffer,2.14558002708991,0.896361583722103,262,47,0.0174020039890126,PCR,0.09438930449684663
Streptococcus__constellatus,Control_type,Buffer,1.76598343637276,0.738575756390253,262,88,0.0175224072693157,PCR,0.09477637035324452
Burkholderia__ubonensis,Control_type,Buffer,1.63033585054284,0.682646803034584,262,38,0.0176539108090179,PCR,0.09506532575903548
Burkholderia__sp.__S.53,Control_type,Buffer,1.05417533133748,0.441432937767587,262,37,0.0176624102503126,PCR,0.09506532575903548
Burkholderia__sp.__MS389,Control_type,Buffer,1.06188986644299,0.445048695250627,262,38,0.0177597894062305,PCR,0.09512316472215165
Streptococcus__pyogenes,Control_type,Buffer,2.39880523873126,1.00854298912715,262,116,0.0181180875324965,PCR,0.09633733709772958
Paraburkholderia__acidisoli,Control_type,Buffer,1.0144182816121,0.427227100575973,262,38,0.0183141921295636,PCR,0.09691076124463051
Bradyrhizobium__sp.__CIAT3101,Control_type,Paraffin,1.76053398659697,0.742166292361647,262,33,0.0184245168933224,PCR,0.09726019013878845
Novosphingobium__ginsenosidimutans,Control_type,Paraffin,2.49167560295962,1.05342190639375,262,116,0.0187607338386164,PCR,0.09856117586029095
Vescimonas__fastidiosa,Control_type,Buffer,1.26579298723217,0.536234083216247,262,32,0.0189995317539405,PCR,0.09886960125984202
Burkholderia__sp.__MBR.1,Control_type,Buffer,1.35401440557586,0.574085496640267,262,35,0.0190981767356896,PCR,0.09914798135123963
Ruminococcus__gauvreauii,Control_type,Buffer,0.999357686542302,0.425822996012322,262,32,0.0196937318165153,PCR,0.10062996241749629
Carnobacterium__sp.__CP1,Control_type,Paraffin,-1.08232087485314,0.461213908266664,262,27,0.0197044097629888,PCR,0.10062996241749629
Lawsonella__clevelandensis,Control_type,Buffer,-1.5088654712067,0.644083841884343,262,35,0.0199135993945621,PCR,0.101227463589024
Planococcus__donghaensis,Control_type,Paraffin,-1.57738211485579,0.674212728878606,262,29,0.0200740825786217,PCR,0.10180758739642783
Acetoanaerobium__sticklandii,Control_type,Paraffin,-1.2459613250791,0.532797245721278,262,28,0.0201300496001575,PCR,0.10185619567268635
Janthinobacterium__sp.__1_2014MBL_MicDiv,Control_type,Buffer,1.59543443261298,0.684132357872351,262,53,0.020473801639711,PCR,0.10335739862254105
Streptococcus__merionis,Control_type,Buffer,1.18358020950712,0.509228059535961,262,48,0.0208944126012517,PCR,0.10414200955494929
Comamonas__fluminis,Control_type,Buffer,-1.46122604428891,0.629479717774004,262,29,0.0210550807371351,PCR,0.10414200955494929
X.Pseudomonas.__carboxydohydrogena,Control_type,Paraffin,1.09007241174808,0.469703625366845,262,28,0.0210856429382379,PCR,0.10414200955494929
Klebsiella__michiganensis,Control_type,Buffer,1.54366988271908,0.665495496717597,262,54,0.0211508817219979,PCR,0.10414200955494929
Blautia__pseudococcoides,Control_type,Buffer,1.29293273156194,0.558115156862895,262,31,0.0213151622776625,PCR,0.10448235795032779
Bradyrhizobium__sp.__CCBAU__53351,Control_type,Paraffin,2.09440408551186,0.90465060893274,262,39,0.0213958384712831,PCR,0.10456883344385488
Paraburkholderia__acidiphila,Control_type,Buffer,1.14095538656327,0.493298037566553,262,38,0.0215206954584766,PCR,0.10470276896731445
Epilithonimonas__vandammei,Control_type,Paraffin,-1.98446708038341,0.858536111341085,262,32,0.02160234831983,PCR,0.1047213176828845
Vescimonas__coprocola,Control_type,Buffer,1.05476735804924,0.457086105843522,262,32,0.021820006910844,PCR,0.10531150588178774
Klebsiella__variicola,Control_type,Buffer,1.17289110420711,0.509106236973241,262,51,0.0220339818906828,PCR,0.10587882764100531
Burkholderia__sp.__NRF60.BP8,Control_type,Buffer,0.819883353071633,0.35585668912525,262,36,0.0220256110097975,PCR,0.10587882764100531
Coprococcus__comes,Control_type,Buffer,1.33345970484956,0.579112833054222,262,32,0.0221044540325177,PCR,0.10598554815591457
Acetoanaerobium__sticklandii,Control_type,Buffer,-1.07293316844695,0.466185254208943,262,28,0.0221659657946492,PCR,0.10604893439008636
Burkholderia__sp.__2002721687,Control_type,Buffer,1.29281052993161,0.56223759639804,262,37,0.0222875224527599,PCR,0.10616789437366754
Mesorhizobium__sp.__M2A.F.Ca.ET.043.05.1.1,Control_type,Buffer,1.08772427981228,0.47375101186682,262,31,0.0224853553320136,PCR,0.10679568017648639
Carnobacterium__sp.__CP1,Control_type,Buffer,-0.922877701281187,0.403551491297449,262,27,0.0230189433986512,PCR,0.1087088165665334
Veillonella__nakazawae,Control_type,Paraffin,-3.30190732543284,1.44476013774586,262,93,0.023105234444162102,PCR,0.10888208320203019
Cloacibacterium__caeni,Control_type,Paraffin,-1.98547729934704,0.870014759064257,262,44,0.0233032663683281,PCR,0.10928296240904879
Rhodobacter__capsulatus,Control_type,Paraffin,-1.51605359488998,0.667262821315064,262,27,0.0239135563424748,PCR,0.10987890101871892
Burkholderia__latens,Control_type,Buffer,0.916054122876755,0.403229428041994,262,35,0.0239291789792907,PCR,0.10987890101871892
Dysosmobacter__welbionis,Control_type,Buffer,1.08828038542334,0.47905465737971,262,30,0.0239334067542434,PCR,0.10987890101871892
X.Ruminococcus.__torques,Control_type,Buffer,1.34284376047916,0.591255324131011,262,29,0.0239672101948845,PCR,0.10987890101871892
Epilithonimonas__vandammei,Control_type,Buffer,-1.70384134367268,0.751199219829445,262,32,0.0241528133884333,PCR,0.11026939334927137
Dialister__pneumosintes,Control_type,Buffer,1.90433579684845,0.841795445409938,262,51,0.0245218992550003,PCR,0.11172218000825862
Robbsia__andropogonis,Control_type,Buffer,0.988824811375443,0.437842115939339,262,33,0.0247626081336252,PCR,0.11214801841012931
Dialister__hominis,Control_type,Buffer,1.12504615882704,0.498501879926507,262,37,0.0248607436176216,PCR,0.11214801841012931
Sphingomonas__sp.__LY54,Control_type,Paraffin,2.45271160238988,1.08685898333362,262,106,0.0248707126437764,PCR,0.11214801841012931
Subdoligranulum__variabile,Control_type,Buffer,1.76353729708201,0.786009951401521,262,36,0.0257097575306526,PCR,0.1152216888516594
Burkholderia__sp.__IDO3,Control_type,Buffer,1.16850513078018,0.521632816255072,262,33,0.0259434911931791,PCR,0.11571932454831008
Dialister__massiliensis,Control_type,Buffer,1.59427639366874,0.711820069137257,262,44,0.0259680464833672,PCR,0.11571932454831008
Enterobacter__ludwigii,Control_type,Buffer,1.13238960079784,0.505901919270301,262,51,0.0260577532605541,PCR,0.11571932454831008
Ralstonia__sp.__RS647,Control_type,Buffer,1.1153674010569,0.498386514774891,262,36,0.0260842739760535,PCR,0.11571932454831008
Moraxella__sp.__DOX410,Control_type,Paraffin,2.3491469313673,1.04957660335208,262,84,0.0260691604311135,PCR,0.11571932454831008
Marinilactibacillus__sp.__15R,Control_type,Paraffin,-2.1536235165722,0.962690799279916,262,37,0.0261417855659696,PCR,0.11574064738481701
Klebsiella__aerogenes,Control_type,Buffer,1.23173104903831,0.55095121853417,262,48,0.0262375100606155,PCR,0.11574728626492747
Herbaspirillum__seropedicae,Control_type,Buffer,1.38980946227703,0.621900524930579,262,41,0.0262951525710531,PCR,0.11574728626492747
Streptococcus__sp.__FDAARGOS_520,Control_type,Buffer,1.1835557351352,0.530031170183319,262,62,0.02641421782372,PCR,0.11601124468177824
