"","Nj","Restrictive","SCRuB","Decontam","Raw"
"Nj",NA,"6.68e-05(****)","5.44e-06(****)","5.44e-06(****)","5.44e-06(****)"
"Restrictive","1(ns)",NA,"5.44e-06(****)","5.44e-06(****)","5.44e-06(****)"
"SCRuB","1(ns)","1(ns)",NA,"1(ns)","1(ns)"
"Decontam","1(ns)","1(ns)","1.9e-05(****)",NA,"5.44e-06(****)"
"Raw","1(ns)","1(ns)","1.9e-05(****)","1(ns)",NA
