feature,value,ref_value,coef,stderr,pval,qval
Prevotella__melaninogenica,Paraffin,Buffer,-3.71733861948142,0.989517250353019,2.358573297088e-4,0.015335647358328887
Brevundimonas__vesicularis,Paraffin,Buffer,2.89938418601098,0.772829898699772,2.4030932826114e-4,0.015335647358328887
Moraxella__sp.__DOX410,Paraffin,Buffer,3.35490327374497,0.897649052183962,2.5320874463408e-4,0.015335647358328887
Bradyrhizobium__sp.__CCBAU__53351,Paraffin,Buffer,2.83388275602338,0.758618748267526,2.5493593426857e-4,0.015335647358328887
Bradyrhizobium__sp.__CIAT3101,Paraffin,Buffer,2.51487025317532,0.673881262863915,2.5838750102831e-4,0.015335647358328887
Staphylococcus__argenteus,Paraffin,Buffer,2.97286233103434,0.803949600115383,2.9270391081047e-4,0.01648148174717416
Janthinobacterium__lividum,Paraffin,Buffer,-2.29767505565247,0.623602237609101,3.0722423161172e-4,0.016522509048328204
Bradyrhizobium__commune,Paraffin,Buffer,2.17776353839646,0.591237703250918,3.0848036019192e-4,0.016522509048328204
Bradyrhizobium__vignae,Paraffin,Buffer,1.28040798510276,0.350954308602256,3.5021194241786e-4,0.018311081560705253
Brevundimonas__mediterranea,Paraffin,Buffer,3.0300507997028,0.839417107546475,4.0240795972185e-4,0.020083815444299602
Bradyrhizobium__barranii,Paraffin,Buffer,1.3902750701098,0.386632298864954,4.2283294550604e-4,0.02063424774069475
Bradyrhizobium__roseus,Paraffin,Buffer,1.90283202832834,0.542644993734784,5.7980960002207e-4,0.026072893343698497
Marinilactibacillus__sp.__15R,Paraffin,Buffer,2.18071097626428,0.622599152394297,5.8797836403147e-4,0.026072893343698497
Planococcus__donghaensis,Paraffin,Buffer,1.53538299583607,0.439410586047585,6.0551801481267e-4,0.026072893343698497
Bradyrhizobium__symbiodeficiens,Paraffin,Buffer,1.68243031734862,0.486065102265022,6.7891874542142e-4,0.02747128420832543
Sphingomonas__paeninsulae,Paraffin,Buffer,1.30826252475176,0.378385923325736,6.8803307443438e-4,0.02747128420832543
Acinetobacter__lwoffii,Paraffin,Buffer,2.90761775977963,0.843405987549906,7.1230379677849e-4,0.02793248460224222
Stenotrophomonas__sp.__G4,Paraffin,Buffer,1.64271825412596,0.479426578771232,7.6597395636275e-4,0.029001358761596534
Bradyrhizobium__sp.__NP1,Paraffin,Buffer,1.39474995302583,0.408984858855187,8.0969828005878e-4,0.029416942767106442
Sphingomonas__abietis,Paraffin,Buffer,1.94638892794551,0.571189426941125,8.1713729908629e-4,0.029416942767106442
Finegoldia__magna,Paraffin,Buffer,3.88548831535437,1.15465175914151,9.4480732188216e-4,0.03282229873462024
Brevundimonas__nasdae,Paraffin,Buffer,2.01013024145494,0.59955484836148,9.852971202922e-4,0.03296518249408391
Brucella__sp.__JSBI001,Paraffin,Buffer,-1.78007307834468,0.532631843535696,0.00102152680839953,0.03348168464545325
Methylorubrum__populi,Paraffin,Buffer,3.42719561097678,1.04323661112105,0.00123651284336799,0.03879117434337294
Bradyrhizobium__diazoefficiens,Paraffin,Buffer,2.14057257186809,0.657122534352885,0.0013556759028512,0.0413481150369616
Ralstonia__sp.__RRA.1,Paraffin,Buffer,-2.50005236615376,0.784172501225311,0.00170300229360558,0.049100916313766285
Comamonas__aquatica,Paraffin,Buffer,2.37412232363974,0.7474138132201,0.00176911655434618,0.049807435299284754
