"","Nj","ND","Decontam","Restrictive","SCRuB"
"Nj",NA,"6.35e-06(****)","6.35e-06(****)","7.63e-05(****)","6.35e-06(****)"
"ND","1(ns)",NA,"1(ns)","1(ns)","6.35e-06(****)"
"Decontam","1(ns)","1.27e-05(****)",NA,"1(ns)","6.35e-06(****)"
"Restrictive","1(ns)","1.27e-05(****)","1.27e-05(****)",NA,"6.35e-06(****)"
"SCRuB","1(ns)","1(ns)","1(ns)","1(ns)",NA
