taxID,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19
63,3,2,1,0,1,0
197,0,0,0,1,0,0
235,0,0,0,0,0,1
246,0,0,421,0,0,0
254,0,1,76,0,0,0
285,0,0,22,0,0,0
292,49,51,39,14,33,21
293,0,1,16,0,1,0
297,25,0,1,2,0,0
305,40,18,20,7,16,60
329,9,7,5,3,7,45
337,7,5,8,3,10,0
347,0,0,7,0,0,3
373,0,0,0,0,9,0
375,2,0,0,0,2,1
381,0,0,0,0,1,0
394,0,0,0,0,1,0
399,0,0,0,0,0,4
408,4,0,0,0,1,0
410,0,0,0,0,1,0
470,22,54,23,23,25,24
518,0,1,0,1,0,0
519,1,0,0,1,0,0
529,33,38,0,27,0,8
545,0,1,0,1,0,0
546,3,0,0,0,0,0
562,46,40,36,1028,32,31
564,0,0,0,41,0,0
571,1,0,0,0,0,0
573,3,1,0,26,0,1
584,0,0,0,1,0,0
611,0,0,0,1,0,0
621,0,0,0,12,0,0
622,0,0,0,33,0,0
623,0,0,0,31,0,0
624,0,0,0,13,0,0
817,4,1,1,2,287,0
818,0,0,0,1,0,0
820,0,0,0,65,0,0
821,0,1,0,1,0,0
823,0,2,0,30,0,0
824,0,0,0,0,10,8
847,0,2,21,1,8,12
851,0,0,0,0,4,0
964,0,1,0,0,0,0
986,0,0,0,0,1,0
1042,0,0,1,0,0,0
1061,0,0,0,0,2,0
1076,0,0,0,0,0,1
1126,2,0,0,0,0,0
1245,0,42,0,0,0,0
1270,0,0,0,420,116,0
1273,0,0,0,1,0,0
1280,106,316,5,4,95,226
1281,0,1,0,0,1,0
1282,1878,5889,13,124,921,2167
1283,140,37,0,4,130,23
1286,0,3,0,0,0,0
1288,0,0,0,0,0,1
1290,0,128,0,0,1,7
1292,4,10,1,1,1,78
1295,2,1,0,0,0,1
1302,0,0,0,3,0,3
1303,28,3,2,25,285,1244
1304,32,0,0,9,4,9
1305,6,0,0,5,51,7
1307,1,0,0,34,3,5
1308,2886,3,1,10,124,969
1311,0,0,0,0,0,1
1313,27,0,1,3,69,91
1318,7,0,1,0,42,112
1328,0,0,0,1,0,0
1335,0,1,0,1,0,0
1340,0,0,0,3,0,0
1343,0,0,0,64,0,0
1346,2,0,0,0,0,1
1351,4,192,192,16182,102,6
1352,3,735,2,83,3,2
1353,1,0,0,25,0,0
1354,0,2,0,1,0,0
1358,0,149,0,0,0,0
1359,0,13,0,0,0,0
1360,0,17,0,0,0,0
1377,422,0,2,1,1,0
1379,1,0,0,2,112,783
1392,1,0,0,1,0,0
1397,0,1,0,2,0,0
1402,1,0,0,0,0,0
1423,0,0,0,0,1,0
1455,1,0,0,0,0,0
1478,0,0,0,2,0,0
1492,0,36,0,0,0,0
1496,0,0,0,0,0,1
1504,0,1,0,0,0,0
1515,1,0,1,0,0,0
1520,0,261,0,0,2,1
1532,0,0,0,2,0,0
1547,0,0,0,2,0,0
1571,0,1,0,0,0,0
1580,0,0,1,1,0,0
1588,0,0,0,1,0,0
1589,0,0,0,0,13,20
1590,1,5,1,3,500,346
1596,0,0,0,98,0,1
1598,0,0,0,158,0,0
1599,0,0,206,1,0,0
1601,0,0,0,1,0,0
1605,0,25,0,299,0,1
1606,0,0,0,2,0,0
1622,2,333,2,3976,1,2
1623,0,0,0,0,0,1
1629,0,0,0,1,0,0
1655,23,0,0,0,0,0
1656,9,0,0,0,0,0
1660,0,1,0,1,49,6
1661,0,1,0,0,0,0
1705,1,0,0,0,0,0
1717,0,1,0,0,0,0
1744,0,0,1,0,1,0
1747,3821,24486,2201,688,11781,10930
1750,0,0,0,0,1,1
1774,0,0,0,0,0,1
1784,0,0,0,1,0,0
1824,0,0,0,0,1,0
1828,18,0,5,2,19,13
1833,0,0,0,36,0,0
2047,24,0,0,0,71,1
2738,0,0,0,3,0,14
2756,357,0,2,0,0,0
9606,2160,1829,1610,1569,1926,3459
10090,4,11,4,82,3,4
13160,0,87,30,2,63,1
13373,1,0,0,0,1,0
13689,1,0,0,0,0,2
28035,1,17,1,0,4,2
28037,36,0,1,1,129,249
28090,0,0,2,0,0,0
28095,0,1,2,0,0,0
28097,0,0,1,0,1,1
28104,0,0,0,2,7,0
28113,0,0,0,1,0,0
28116,0,0,0,48,0,0
28132,207,0,1,1,27,0
28133,0,1,0,0,163,0
28135,0,0,0,0,0,1
28450,5,6,6,3,7,5
28885,0,0,0,2,0,0
28901,0,0,0,1,0,0
29314,0,1,0,0,0,0
29347,0,0,0,13,0,0
29375,0,1,0,0,0,0
29378,0,0,0,0,0,8
29379,1,2,0,1,1,510
29380,28,68,1,2,17,44
29382,0,3,0,2,2,290
29384,0,0,0,0,1,1
29385,0,0,0,0,0,2
29388,11,358,147,9,591,2024
29389,2,0,0,3,0,0
29391,1,2,3,1,6,912
29447,5,1,0,0,1,0
29448,4,0,0,0,1,0
29461,1,0,0,0,0,2
29466,1,1,2,0,170,0
29486,0,0,0,2,0,0
29533,0,0,26,0,9,0
29581,63,29,248,48,209,180
31963,0,0,0,0,0,1
32002,25,35,58,98,0,0
32009,1,0,0,0,0,1
33010,1,6,326,0,105,0
33011,8,3197,612,8,1201,9
33028,7,18,1,0,7,12
33033,129,0,1,1,369,1
33035,0,1,0,0,0,0
33038,0,0,0,123,0,0
33039,0,0,0,1,0,0
33046,0,0,0,0,0,1
33050,13,0,24,1,0,13
33051,78,1,1,1,0,53
33887,1,0,0,0,0,0
33888,0,0,0,1,0,0
33959,0,0,0,380,0,1
33970,0,0,0,2,0,0
33987,1,0,0,0,0,0
34004,0,0,0,1,0,0
34070,0,0,0,0,1,1
34073,42805,19365,38334,5634,18628,42551
34087,0,0,0,0,0,31
35841,74,0,0,0,0,0
36745,0,4,0,0,0,0
36863,19,1,5,1,1,5
37448,0,0,5,1,0,0
37482,0,0,0,1,0,0
37734,0,1,0,5,0,0
37762,3,0,1,2,0,0
37927,0,0,0,0,0,1
38289,1,0,0,0,0,0
38290,0,1,0,0,0,0
38301,10,1,0,0,0,0
38303,0,2,1,0,0,0
38304,1,0,0,0,0,0
38323,0,0,0,0,0,1
38875,0,1,0,0,0,0
39485,0,1,0,2,0,0
39486,0,0,0,1,0,0
39488,0,0,0,3,0,0
39491,0,0,0,0,66,0
39496,0,0,0,1,0,0
39645,0,0,0,0,1,2
39777,1,0,1,0,125,1
39778,0,0,0,0,4,0
39950,2,1,0,1,161,2
40041,0,0,0,1,0,0
40137,0,0,0,0,0,1
40214,0,31,0,4,0,1
40324,104,2,5,29,166,948
40545,0,0,0,4,0,0
41276,0,0,1,0,1,0
41899,0,0,1,0,0,0
42443,0,0,0,1,0,0
42858,0,0,0,184,0,0
