taxID,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19
63,3,2,1,0,1,0
197,0,0,0,2,0,0
235,0,0,0,0,0,2
246,0,0,506,0,0,0
254,0,3,85,0,0,0
285,3,0,25,0,1,0
292,55,56,46,26,40,23
293,0,2,19,0,1,0
297,29,0,1,11,0,0
305,58,31,34,9,26,85
329,10,8,5,3,11,48
337,11,7,12,5,13,0
347,0,0,8,0,0,4
373,0,0,0,0,12,0
375,3,0,1,0,2,3
380,0,0,0,0,1,0
381,0,0,0,0,1,0
394,0,0,0,0,3,0
399,0,0,0,0,0,4
408,8,0,0,0,1,0
410,0,0,0,0,2,0
470,24,57,27,27,26,24
471,0,1,0,0,0,0
502,0,1,0,0,1,0
504,0,0,0,0,3,0
505,0,0,0,0,1,0
518,0,2,3,1,0,0
519,1,1,1,1,0,1
520,1,0,0,0,0,0
529,40,48,0,32,0,12
539,0,5,0,0,10,0
545,0,1,0,1,0,0
546,3,0,0,0,0,0
550,1,0,0,1,0,0
562,63,54,46,1166,45,39
564,1,0,1,45,0,0
571,1,0,0,0,0,0
573,4,1,0,30,0,1
584,0,0,0,1,0,0
585,0,0,0,5,0,0
598,0,0,0,1,0,0
611,0,0,0,1,0,0
621,0,0,0,15,0,0
622,0,0,0,39,0,0
623,0,0,0,34,0,0
624,0,0,0,14,0,0
728,0,0,0,0,1,0
807,0,0,0,0,0,1
817,4,1,1,7,331,1
818,0,1,0,3,1,0
820,0,0,0,81,0,0
821,0,1,0,2,0,0
823,0,5,0,55,0,0
824,0,0,0,0,10,8
831,0,0,0,1,0,0
839,0,0,0,2,0,0
847,0,2,24,2,8,12
851,0,0,0,0,4,0
924,0,0,0,1,0,0
959,0,0,1,0,1,0
964,0,1,1,0,0,0
986,0,0,0,0,1,0
1042,0,0,1,0,0,0
1061,0,0,0,0,5,0
1075,0,0,0,0,1,0
1076,0,0,0,0,0,2
1079,0,0,0,0,0,1
1126,6,0,0,1,1,0
1140,0,0,0,1,0,0
1245,0,47,0,0,0,0
1270,0,1,0,495,124,0
1272,0,0,0,0,0,1
1273,0,0,0,2,0,0
1280,156,466,11,15,127,330
1281,1,2,0,0,2,0
1282,2084,6603,16,151,1039,2421
1283,164,56,0,4,147,34
1284,0,1,0,0,0,0
1286,0,4,1,0,0,0
1288,1,1,0,0,1,1
1290,3,142,0,0,3,9
1292,5,14,1,3,1,97
1295,3,4,0,0,0,1
1296,0,1,0,0,1,0
1302,0,0,0,3,0,4
1303,32,3,2,29,328,1401
1304,42,0,1,10,6,12
1305,7,0,0,6,61,7
1307,1,0,0,41,4,6
1308,3169,5,2,12,138,1069
1311,0,0,0,0,1,1
1313,30,1,1,3,86,107
1314,1,0,0,0,0,0
1318,7,0,1,2,44,127
1326,1,0,0,0,0,0
1328,0,0,0,2,0,0
1329,1,0,0,0,0,0
1334,0,0,0,1,0,0
1335,0,1,0,1,0,0
1340,0,0,0,3,0,0
1343,0,0,0,73,0,0
1346,2,0,0,0,1,1
1351,6,217,229,18376,117,8
1352,6,840,6,172,5,2
1353,1,0,0,55,0,0
1354,0,2,0,2,0,0
1358,0,163,0,0,0,0
1359,0,17,0,0,0,0
1360,0,19,0,0,0,0
1366,0,1,0,0,0,0
1377,474,0,2,1,2,0
1379,1,0,1,2,133,887
1392,1,0,0,1,0,0
1397,0,1,0,2,0,0
1402,1,0,0,1,0,0
1423,0,0,0,1,1,0
1428,1,0,0,0,0,0
1455,1,0,0,0,0,0
1478,0,0,0,2,0,0
1479,1,0,0,0,0,0
1492,0,45,0,0,0,0
1496,1,1,0,1,2,2
1502,0,1,0,0,0,0
1504,0,1,0,0,0,0
1515,1,0,1,0,0,0
1517,0,1,0,0,0,0
1520,0,313,0,0,2,1
1532,0,0,0,3,0,0
1547,0,0,0,4,0,0
1571,0,1,0,0,0,0
1579,0,0,0,3,0,0
1580,0,0,1,1,0,0
1583,0,0,0,1,0,0
1588,0,0,0,1,0,0
1589,0,0,0,1,18,20
1590,1,5,1,4,548,385
1596,0,0,0,116,0,1
1598,0,0,0,193,0,0
1599,0,0,231,2,0,0
1601,0,0,0,3,0,0
1605,0,27,0,343,0,1
1606,0,0,0,2,0,0
1614,0,0,0,1,0,0
1622,4,383,2,4612,1,2
1623,0,0,0,0,0,1
1624,0,0,0,1,0,0
1629,0,0,0,1,0,0
1655,28,0,0,0,0,0
1656,10,0,0,0,0,0
1660,0,2,1,1,60,6
1661,0,1,0,0,0,0
1697,2,0,0,0,0,0
1705,1,0,0,0,0,0
1717,0,1,0,0,0,0
1744,2,0,1,0,1,0
1747,4229,27398,2469,794,13200,12130
1749,1,0,0,0,0,0
1750,0,2,0,0,1,1
1766,0,1,0,0,0,0
1774,0,1,0,0,0,1
1781,0,0,0,0,0,1
1784,0,0,0,1,0,0
1799,0,1,0,0,0,0
1824,0,0,0,0,1,1
1828,21,0,7,3,21,17
1833,0,0,0,40,0,0
2047,27,0,0,0,80,2
2738,0,0,0,4,0,14
2748,0,0,0,1,0,0
2756,415,0,2,0,0,0
9606,6492,6016,3817,3002,4293,8124
10090,9,25,4,124,13,12
13035,1,0,0,0,0,0
13160,0,102,34,2,79,1
13373,1,2,0,2,2,2
13689,5,1,0,0,0,4
28035,1,21,1,0,4,4
28037,46,0,1,1,149,282
28038,0,0,1,2,0,0
28090,0,0,2,0,0,0
28092,0,0,0,33,0,0
28095,1,3,3,0,2,0
28097,1,0,1,0,1,1
28104,0,0,0,2,9,0
28113,0,0,0,1,0,0
28116,0,0,0,59,0,0
28118,0,0,0,75,0,0
28129,0,0,0,5,0,3
28132,236,0,1,1,30,0
28133,0,1,0,0,182,0
28135,0,0,0,0,0,4
28450,7,9,9,5,10,6
28885,0,0,0,2,0,0
28901,0,0,0,1,0,0
29314,0,1,0,0,0,0
29347,0,0,0,52,0,0
29375,1,126,1,142,0,0
29378,0,0,0,0,0,11
29379,3,3,0,1,1,566
29380,35,85,3,2,23,64
29382,0,4,0,3,2,327
29384,0,0,0,0,1,2
29385,0,1,0,0,0,2
29388,18,408,162,9,646,2209
29389,2,0,0,5,0,0
29391,1,2,3,1,9,1027
29430,0,1,0,0,0,0
29447,96,1,7,0,12,1
29448,4,0,0,0,1,0
29461,2,2,0,0,0,4
29466,2,1,2,0,196,0
29486,0,0,0,2,0,0
29533,0,0,36,0,13,0
29581,68,35,284,52,240,201
31963,0,0,0,0,0,1
32002,31,40,68,109,0,0
32009,1,0,0,0,0,1
33010,4,8,380,0,117,0
33011,9,3619,694,8,1374,10
33028,8,22,2,0,8,14
33033,147,0,1,1,418,1
33035,0,3,0,6,0,0
33038,0,7,0,194,0,0
33039,0,0,0,45,0,0
33043,1,8,0,44,1,0
33046,0,0,0,0,0,2
33050,14,0,27,1,0,15
33051,107,1,1,1,0,68
33887,1,0,0,0,0,0
33888,0,0,0,1,0,0
33936,1,0,0,0,0,0
33959,0,1,1,428,0,1
33970,0,1,0,5,0,0
33987,2,0,0,0,0,0
34004,0,0,0,2,0,0
34070,0,0,0,0,1,1
34071,0,0,1,0,0,0
34073,48591,21932,43474,6508,21273,48109
34087,0,0,0,0,0,34
35790,1,0,0,0,0,0
35841,163,0,0,1,0,0
36745,0,5,0,0,0,0
36863,21,1,7,2,2,5
37448,1,0,6,1,0,0
37482,0,0,0,1,0,0
37734,0,2,0,14,0,0
37762,4,0,2,2,1,0
37927,0,0,0,0,0,1
37928,0,1,0,0,0,1
38289,2,0,0,0,0,0
38290,0,1,0,0,0,0
38301,12,1,0,0,0,0
38303,0,2,1,0,0,0
38304,1,0,0,0,0,0
38323,0,0,0,0,0,2
38875,0,1,0,0,0,0
39485,0,3,0,9,0,0
39486,0,0,0,3,0,0
39488,0,1,0,23,0,0
39491,0,0,0,5,82,0
39496,0,0,0,1,0,0
39645,0,0,0,0,1,3
39777,1,0,1,0,142,1
39778,0,0,0,0,6,0
39950,2,1,0,1,184,2
40041,0,0,0,3,0,0
40137,0,0,0,0,1,2
40214,0,36,0,4,0,2
40324,128,3,7,29,208,1078
40477,87,0,1,2,3,0
40545,0,0,0,33,0,0
41170,0,0,0,0,0,1
41276,0,0,1,1,1,0
41899,0,0,1,0,0,0
42443,0,0,0,1,0,0
42858,0,0,0,216,0,0
42881,0,0,0,0,0,1
42897,0,0,0,1,0,0
43057,0,0,0,0,3,0
43617,0,0,0,0,21,0
43675,0,0,1,0,53,99
43765,0,35,0,0,0,224
43767,1,0,0,0,0,0
43768,1,0,0,0,0,0
43770,57,0,0,0,0,1
44009,0,0,0,8,0,0
44688,0,2,0,0,0,0
