taxID,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19
61,0,0,0,0,1,0
63,3,2,1,0,1,0
72,0,0,0,0,3,0
197,0,0,0,2,0,0
235,1,0,0,0,0,3
246,0,0,537,0,0,0
254,0,4,89,0,0,0
285,3,0,26,0,1,0
292,56,57,47,29,41,23
293,0,2,19,0,1,0
297,31,0,1,12,0,0
305,61,34,35,13,29,107
329,10,8,5,3,11,49
337,12,7,13,107,15,1
347,0,0,9,0,0,6
373,0,0,0,0,13,0
375,4,0,1,0,2,3
376,0,0,0,0,0,1
380,0,0,0,0,1,0
381,0,0,0,0,1,0
386,0,0,0,0,1,1
394,0,0,0,0,3,0
399,0,0,0,0,0,4
408,13,0,0,0,1,0
410,0,0,0,0,2,0
414,0,0,0,1,0,0
435,0,0,0,0,0,3
436,0,0,0,0,0,1
470,26,58,27,27,26,25
471,0,1,0,0,0,0
485,0,0,0,1,1,0
487,0,1,0,0,1,0
493,0,0,0,1,0,0
495,0,0,0,0,1,0
502,0,1,0,0,2,0
504,0,3,0,0,9,0
505,0,0,0,3,3,0
511,0,0,0,1,0,0
518,0,2,3,21,0,0
519,1,1,1,4,1,2
520,1,0,0,14,0,0
529,40,50,0,32,1,12
539,0,9,0,0,20,0
545,0,1,0,2,0,0
546,3,0,0,0,0,0
548,0,0,0,1,0,0
550,1,0,0,1,0,0
562,63,56,46,1212,45,39
564,1,0,1,46,0,0
571,2,0,0,0,0,0
573,5,1,0,32,0,1
582,0,1,0,0,0,0
584,0,0,0,1,0,0
585,0,0,0,15,0,0
598,0,0,0,1,0,0
611,0,0,0,1,0,0
621,0,0,0,15,0,0
622,0,0,0,40,1,0
623,0,0,0,39,0,0
624,0,0,0,14,0,0
633,0,0,0,1,0,0
728,0,0,0,0,1,0
807,0,0,0,0,0,1
817,4,2,1,8,353,1
818,0,1,0,4,1,0
820,0,0,0,86,0,0
821,0,1,0,3,0,0
823,0,7,0,95,0,0
824,0,0,0,1,10,8
831,0,11,0,24,0,0
837,0,2,0,0,0,0
839,0,0,0,2,0,0
847,0,3,24,3,8,12
851,0,0,0,0,4,0
907,0,0,0,0,0,1
