Method	emmean	SE	df	lower.CL	upper.CL
decontam	0.0292657613702952	0.00730295754921043	36.8084415696324	0.0144659640135829	0.0440655587270076
Fisher	0.0630617247967968	0.00730295754921043	36.8084415696332	0.0482619274400845	0.0778615221535091
origin	0.0183943369360061	0.00730295754921043	36.8084415696334	0.00359453957929375	0.0331941342927184
restrictive	0.0501408937804568	0.00730295754921043	36.8084415696332	0.0353410964237445	0.0649406911371691
SCRuB	0.0148929142850113	0.00730295754921043	36.8084415696332	9.31169282989645e-05	0.0296927116417236
