Method	emmean	SE	df	lower.CL	upper.CL
decontam	0.202818615397209	0.0131992901007744	41.0231509563568	0.176162565104064	0.229474665690354
Fisher	0.323216691064487	0.0131992901007744	41.0231509563567	0.296560640771342	0.349872741357632
origin	0.174707416680902	0.0131992901007744	41.0231509563569	0.148051366387758	0.201363466974047
restrictive	0.2473984903349	0.0131992901007744	41.0231509563567	0.220742440041755	0.274054540628044
SCRuB	0.049476638967229	0.0131992901007744	41.0231509563567	0.0228205886740842	0.0761326892603738
