Method	emmean	SE	df	lower.CL	upper.CL
decontam	0.0376481665337521	0.00961878477285371	57.8545680508998	0.0183930463261279	0.0569032867413762
Fisher	0.0650093528999269	0.00961878477285371	57.8545680508988	0.0457542326923027	0.0842644731075511
origin	0.0202157578177303	0.0096187847728537	57.8545680508988	0.000960637610106126	0.0394708780253545
restrictive	0.0652341293219423	0.00961878477285371	57.8545680508988	0.0459790091143181	0.0844892495295665
SCRuB	0.0808695867938504	0.0096187847728537	57.8545680508988	0.0616144665862262	0.100124707001475
